metric,test,model_a,model_b,value_a,value_b,delta,ci_low,ci_high,statistic,p_value,p_value_holm,significant,better,n
auroc_macro,paired cluster bootstrap,classification__cpg__boruta__none__svm,classification__markers__none__none__random_forest,0.9189519521559943,0.8433284641004631,0.07562348805553121,0.032868397159065345,0.11948709305745225,,0.0,0.0,True,classification__cpg__boruta__none__svm,187
auroc_IM,DeLong,classification__cpg__boruta__none__svm,classification__markers__none__none__random_forest,0.925531914893617,0.8876899696048632,0.03784194528875373,0.00029418896731085026,0.07538970161019662,1.975356719879424,0.04822768069052372,0.07087055704520252,False,ns,187
auroc_NIM,DeLong,classification__cpg__boruta__none__svm,classification__markers__none__none__random_forest,0.8855994152046784,0.7421418128654971,0.14345760233918137,0.05122193254371368,0.23569327213464905,3.0484616332087615,0.0023001628224909696,0.006900488467472909,True,classification__cpg__boruta__none__svm,187
auroc_NV,DeLong,classification__cpg__boruta__none__svm,classification__markers__none__none__random_forest,0.9457245263696876,0.9001536098310292,0.04557091653865841,0.0031057816213449913,0.08803605145597183,2.103348937656485,0.03543527852260126,0.07087055704520252,False,ns,187
auroc_macro,paired cluster bootstrap,classification__cpg__boruta__none__svm,classification__stacked__none__none__mlp,0.9189519521559943,0.8986573808883529,0.020294571267641448,-0.005407470816432746,0.054118218184827094,,0.124,0.124,False,ns,187
auroc_IM,DeLong,classification__cpg__boruta__none__svm,classification__stacked__none__none__mlp,0.925531914893617,0.926595744680851,-0.0010638297872340718,-0.024878515386662414,0.02275085581219427,-0.08755548647800886,0.9302299828895381,0.9302299828895381,False,ns,187
auroc_NIM,DeLong,classification__cpg__boruta__none__svm,classification__stacked__none__none__mlp,0.8855994152046784,0.8172514619883041,0.06834795321637432,-0.011950553065363259,0.1486464594981119,1.6682998788803232,0.0952562119719266,0.3810248478877064,False,ns,187
auroc_NV,DeLong,classification__cpg__boruta__none__svm,classification__stacked__none__none__mlp,0.9457245263696876,0.9521249359959036,-0.006400409626216019,-0.020847021033645,0.008046201781212962,-0.868356081131413,0.3851994298981575,0.770398859796315,False,ns,187
auroc_macro,paired cluster bootstrap,classification__markers__none__none__random_forest,classification__stacked__none__none__mlp,0.8433284641004631,0.8986573808883529,-0.05532891678788976,-0.09728507611530872,-0.015168176324781436,,0.01,0.02,True,classification__stacked__none__none__mlp,187
auroc_IM,DeLong,classification__markers__none__none__random_forest,classification__stacked__none__none__mlp,0.8876899696048632,0.926595744680851,-0.0389057750759878,-0.07855358760337444,0.000742037451398829,-1.923317184176628,0.05444022776827022,0.2722011388413511,False,ns,187
auroc_NIM,DeLong,classification__markers__none__none__random_forest,classification__stacked__none__none__mlp,0.7421418128654971,0.8172514619883041,-0.07510964912280704,-0.1668556266299126,0.01663632838429853,-1.6045925530555305,0.10858350135936794,0.3810248478877064,False,ns,187
auroc_NV,DeLong,classification__markers__none__none__random_forest,classification__stacked__none__none__mlp,0.9001536098310292,0.9521249359959036,-0.05197132616487443,-0.08581038687513812,-0.01813226545461074,-3.0102431079671685,0.0026103866166860327,0.015662319700116195,True,classification__stacked__none__none__mlp,187
