slideId,val_fold
231847,0
220126,2
227088,0
232645,3
219350,4
220100,4
203829,3
289639,1
213658,0
205260,2
237476,3
720593,3
733567,3
287913,4
724969,0
701462,3
133804,2
730538,0
257169,1
727330,4
415813,4
465986-1,2
402631,2
303511,2
235405,2
313884,4
282956-1,1
259985,3
247307,4
430532,0
487457,2
282956-2,1
238717,1
134245-2,4
200427-1,3
430366-2,3
929841,2
737721,2
740941,3
922318,4
482540,1
298853,1
441535,0
222180,0
411147,3
293101,1
250459,4
303141,2
506755,4
234142,2
104317,0
433603,2
133624,0
408086,3
115686,0
456459,3
442469,4
473038,4
121495-1,2
436412-1,1
496751-1,2
177025,0
135379-1,2
200427-2,3
197688,3
107920,1
106162,0
225497,2
115652,3
106744-2,4
179728,3
465986-2,2
203050,4
166405,2
421369,0
428772,3
191136,3
175945,4
506223,1
224832,4
293018,0
164077,2
207585,2
486741,0
501443,3
515966,4
522500,4
554970,3
556823,0
100937,1
108557,2
128648,1
188650-1,2
188650-2,2
232569,2
334622,3
302256,0
494581,1
549165,2
564124,1
558024,0
570200,3
806056,1
208220,0
218917,1
227913,4
237952,0
272393,0
273848,3
277718,0
291155,2
553931,2
341033,2
446556,1
531946,3
521834,0
119025,1
545094,1
568644,4
230760,1
420206-2,0
566049,2
951955,0
806289-1,3
114434,2
428519,2
333072,1
608216,4
646146,1
640440-1,2
354521,0
404049,0
333134,0
277647,3
335301,0
946572,4
622744,0
367181,1
338290,2
354560,0
640070,4
445174,3
456371,4
639877,4
947120-1,2
546670,2
642345-1,4
633084,3
693169,0
349942,0
618720,1
547665,1
640440-2,2
643765,1
349147,3
143742,2
171489,4
170656,4
176086,2
177224,3
121285,3
146350,4
155171,0
145604,0
101230,0
140682,1
130113,1
119659,3
278485-1,1
401671,1
328993,4
643602,2
324753,2
304728-1,1
413514,0
456805,1
308957-1,1
308957-2,1
550664-2,0
260859,2
772561,0
550664-1,0
490281-1,0
490281-2,0
218196,4
622869,4
602410,3
604796,1
627436,2
619807-1,3
626414,0
308940,4
697339,3
300962,0
652218,4
666045,4
666563,3
360549,1
570214,4
410128,1
417979,0
474532,2
713600,3
101292,1
583163,0
301329,2
653604,3
352752,4
645386,2
676277,3
662985,3
326938,2
302567,3
680443,3
255604,2
700800,2
658659,0
592456-2,2
546569-2,3
685842,1
703697,3
725823,2
223015,0
244557,4
665087-1,3
676708-1,0
546569-1,3
699110,1
676708-2,0
665087-2,3
521912,2
692561,2
703576,1
663974,2
354764-2,3
550193-2,1
596370,0
661753,0
642570,0
437272,2
586964,2
664088,4
592456-1,2
667443,3
222814,2
678133,1
542754-2,3
672910-1,3
336057,0
275786,1
568151,0
101450,4
115530,1
521092-2,0
668403-1,2
810151,0
339351,4
414690,4
672910-2,3
691272,2
401945-1,1
135304,2
495972-1,1
686840,0
288668,2
287773,4
292498,3
782005,1
223426,3
961180,4
599560-1,1
101398,3
996080,1
295851,2
113308,3
763152,1
768250,0
593120,0
667823,2
592154,0
583846,4
130656,1
126602,2
115420,3
130236-2,2
130236-1,2
124768-2,1
124768-1,1
109042-2,3
783370,3
782679,3
771394,3
773004-2,1
774309-1,1
786363,4
787884,4
783798,1
789479,1
759437,0
761124,2
961518,0
791762,0
154396,0
355991,1
668403-2,2
363920,1
501441-1,3
357423,3
425593-1,4
495972-2,1
688070-1,3
673151,3
292050,4
105587,0
109256,4
967165,3
974020,4
773387,3
734109,1
737207,2
773888,0
679218,1
968905,4
142128-1,3
812674,2
967977,3
263798,0
753457,2
752609-1,0
729980-1,2
745192-1,1
752609-2,0
749176,0
732460,3
729980-2,2
724056,2
737569,3
615122,3
978518-1,3
373987,4
458419,0
101543,3
259981-2,0
106914,4
792735-1,0
117728,0
250432,1
135895,3
298503-2,2
137723,1
717314,2
376547,1
490427,1
966571,4
777302,3
499991,1
792992,3
408057,1
777041,2
259981-1,0
482629-1,2
105229,3
293614,4
492599,3
118397,4
796338,0
446780-1,0
467518,4
108136,2
473661,2
446780-2,0
461516,2
776722,3
781478-1,4
792025,0
127505,4
105827,3
297981,4
196757,4
542754-1,3
145619,1
465984,1
482629-2,2
447994,3
441740,1
455145-1,3
455145-2,3
978518-2,3
966121,3
409386-2,0
425593-2,4
358300,1
401945-2,1
737229-1,4
737229-2,4
698154,0
118252,4
377114,3
439727,2
792537,4
716389,0
216130-2,3
295743,3
409157,2
453418,3
458178,4
175274,0
162764,3
175669,4
126304,4
829179-2,2
599335-1,3
119687,0
473786-1,1
893535,3
847226,2
511860,4
856413,4
811138,3
158283,3
799469,0
770383,3
161831,3
858009,4
163446,1
820041,0
882294,4
159603,2
115452,2
169105,0
136695,2
122547,3
166809,2
175453,1
335663,3
827832,1
840562,2
853282-2,4
129537,3
525132-2,1
868711,0
891780,4
271360,2
764181,4
157270,4
980971,4
979143,4
842886,3
168172,4
848467,0
330358,2
290289,2
853282-1,4
903532,3
982040,1
797778,0
115670,0
979545,1
798792,1
494111,4
818283,3
680882,4
842825,2
829166,2
818680,3
795437,2
926062,0
151962,4
142905,3
232419-1,4
823353,0
121892,1
899179,1
800199-1,1
742067-2,3
662771-2,4
800199-2,1
662771-1,4
829179-1,2
893202,1
492839-2,4
611485-2,4
742067-1,3
599560-2,1
109447-1,0
890358-2,4
232419-2,4
611485-1,4
829648-2,2
832207,0
652632,0
118092,4
510219,1
115980,4
901475,3
809379,4
826016,3
185660,1
891668,1
811923,4
816528,2
113250,4
810872,2
196148,1
801527,0
985442,4
959489,1
130714,0
980090,2
923150-2,3
525132-1,1
869165,2
316730,4
489663-1,0
822586,1
856731,1
960456,3
925911,2
961804,4
849969-2,1
473786-2,1
127412,2
890487-1,4
131477,2
813888,2
414496-2,0
127328,1
350659,0
800231,2
890487-2,4
619807-2,3
781478-2,4
767296,4
759039,1
983612,1
557961,1
