slideId,val_fold
220126,3
227088,4
232645,3
219350,4
220100,2
203829,0
289639,3
213658,0
237476,1
733567,2
287913,3
724969,4
701462,2
133804,2
730538,4
257169,4
727330,1
415813,2
402631,3
235405,4
313884,0
259985,1
247307,4
487457,2
929841,4
737721,0
740941,3
922318,1
222180,0
411147,4
293101,0
250459,4
303141,0
506755,0
234142,2
433603,1
408086,0
115686,3
456459,3
442469,1
121495-1,2
436412-1,2
496751-1,1
197688,0
203050,0
421369,2
164077,3
501443,4
515966,0
522500,0
554970,2
108557,2
302256,2
494581,4
549165,4
564124,2
558024,0
570200,1
806056,3
227913,0
341033,1
545094,0
566049,1
114434,2
608216,4
640440-1,4
354521,0
404049,1
277647,2
335301,4
622744,2
354560,4
445174,1
639877,0
642345-1,1
693169,1
618720,2
547665,1
640440-2,4
643765,1
349147,3
143742,4
171489,2
170656,3
176086,2
177224,0
121285,0
146350,2
155171,0
145604,3
101230,2
140682,1
130113,0
119659,1
304728-1,4
772561,4
218196,0
622869,0
626414,4
697339,1
666045,4
666563,1
474532,0
101292,2
583163,3
352752,1
255604,2
658659,2
703697,1
244557,1
665087-1,2
699110,0
665087-2,2
521912,2
692561,0
703576,1
663974,0
596370,3
661753,3
592456-1,2
222814,3
678133,2
672910-1,3
521092-2,1
668403-1,3
810151,3
401945-1,3
135304,2
686840,4
287773,4
223426,0
961180,3
996080,0
113308,2
768250,1
593120,2
667823,4
583846,1
124768-2,1
124768-1,1
109042-2,1
783370,2
771394,0
774309-1,2
786363,1
787884,0
783798,2
789479,4
761124,2
961518,1
791762,2
154396,2
355991,3
668403-2,3
501441-1,1
673151,2
292050,3
773387,0
734109,1
737207,3
773888,3
679218,4
812674,3
753457,2
752609-1,1
745192-1,4
752609-2,1
749176,3
737569,4
615122,3
101543,0
106914,3
250432,4
792992,0
408057,1
777041,1
796338,1
108136,4
776722,0
781478-1,4
127505,4
542754-1,1
145619,4
377114,4
716389,0
162764,3
175669,2
126304,2
511860,3
856413,0
158283,2
799469,3
770383,0
161831,4
858009,4
882294,3
159603,2
122547,0
827832,2
868711,3
271360,1
157270,1
330358,2
853282-1,2
903532,4
797778,0
115670,1
979545,1
798792,0
818283,4
829166,4
818680,1
795437,0
926062,0
151962,1
142905,2
232419-1,4
800199-1,1
800199-2,1
893202,0
232419-2,4
829648-2,4
832207,3
185660,4
811923,3
816528,2
810872,3
196148,0
985442,2
130714,2
980090,3
525132-1,4
316730,1
960456,2
961804,4
890487-1,0
131477,0
813888,4
350659,3
800231,1
890487-2,0
619807-2,4
767296,2
759039,2
557961,0
903854,4
177931,3
376488,0
185519,3
948636,0
319086,1
958283,1
514193,1
555612,1
481121,1
488135,1
945330,2
559196,0
603514,1
415543,0
194840,4
799417,4
554185,1
361971,4
522063,0
493750,3
999620,0
311160,4
337890,3
397503,4
996518,1
125853,1
300486,3
472815,4
127678,0
178340,0
992692,3
440627,2
590700,3
602845,3
258652,4
610359,0
276146,4
197778,0
289991,4
321818,4
261235,1
383544,2
471776,4
398342-1,4
298794-1,0
298794-2,0
915899-1,2
440783,0
344058-2,0
520390,2
491345,1
945864,2
103870,4
347487,2
781773,0
945487,3
524981,3
973128,4
399625,0
103741,1
136919,3
184128,3
303962,4
104651,1
320913,2
103818,1
546299,4
204877,4
821756,2
209320,1
208179,0
541324,1
952660,2
493867,2
525488,0
935832,3
209649,2
952991,3
389344,2
657863,3
503807,4
859222,2
934675-2,2
822142,4
112284,3
994419,3
231618,1
296392,1
214111,4
288003,0
496735,2
117956-2,2
321657,4
965294,0
173685,4
335987-1,1
189097,1
492120,1
482141-2,3
219047,3
244082,0
452949,3
849969-1,3
946088,3
580101-2,3
503492,1
251369,3
283907,1
227001,2
482141-1,3
447044,3
486138-2,0
468162-2,0
121495-2,2
250982,0
247394,0
224451,3
252900,4
227935,3
232516,3
205329,3
233551,4
217072,3
469327,1
273694,2
242002,3
411146-2,3
