filter,reducer,model,fold,n_features,auroc,bal_acc,f1_macro
boruta,ae,xgboost,0,64.0,0.8586298141691672,0.657743569238971,0.6373901210048181
boruta,ae,random_forest,0,64.0,0.8612278423707447,0.6455484472877515,0.6227313166011355
boruta,ae,logistic,0,64.0,0.9020666101844088,0.7674063707850193,0.7076028661722832
boruta,ae,elasticnet,0,64.0,0.8999560057344786,0.7728708516593362,0.7142582182746576
boruta,ae,svm,0,64.0,0.8897668969105753,0.7562041849926696,0.7049019607843138
boruta,ae,mlp,0,64.0,0.8871811818868292,0.6898107423697187,0.6552520576131687
boruta,ae,cnn,0,64.0,0.885227150275902,0.7001599360255898,0.6360905608165551
boruta,ae_vae,xgboost,0,64.0,0.892277619916107,0.6513261362121817,0.65507728007728
boruta,ae_vae,random_forest,0,64.0,0.8715576140361128,0.6779288284686125,0.6698506344524043
boruta,ae_vae,logistic,0,64.0,0.8882987208987528,0.7426096228175396,0.6879426046763536
boruta,ae_vae,elasticnet,0,64.0,0.8884688443572079,0.725942956150873,0.6785598265097622
boruta,ae_vae,svm,0,64.0,0.8764505969427923,0.7340730374516861,0.6886485814730542
boruta,ae_vae,mlp,0,64.0,0.885532048655688,0.71515393842463,0.6545678070927127
boruta,ae_vae,cnn,0,64.0,0.8875380928844511,0.733626549380248,0.6561063078097539
boruta,chrom_hmm,xgboost,0,15.0,0.8860892036615211,0.7117086498733839,0.7219822521171846
boruta,chrom_hmm,random_forest,0,15.0,0.9100237995072872,0.7755764360922298,0.7740956361646018
boruta,chrom_hmm,logistic,0,15.0,0.9151534840524604,0.7697987471677995,0.7234997853693913
boruta,chrom_hmm,elasticnet,0,15.0,0.9151549143805836,0.7697987471677995,0.7248711479157232
boruta,chrom_hmm,svm,0,15.0,0.9179425362738964,0.7486605357856857,0.7197514225816112
boruta,chrom_hmm,mlp,0,15.0,0.8869935178215788,0.7131080900972945,0.7182121971595655
boruta,chrom_hmm,cnn,0,15.0,0.8673112212050885,0.6573703851792616,0.667272410392437
boruta,none,xgboost,0,400.0,0.9030965363531682,0.6591829934692789,0.6619966248807136
boruta,none,random_forest,0,400.0,0.9173008941710612,0.7132480341196854,0.7173327113460841
boruta,none,logistic,0,400.0,0.9090473393482909,0.6939157670265228,0.6917835609696074
boruta,none,elasticnet,0,400.0,0.9071540059164616,0.7051179528188724,0.7018646553530274
boruta,none,svm,0,400.0,0.9205605131769308,0.7343862455017992,0.7270613107822411
boruta,none,mlp,0,400.0,0.8583068250017156,0.6628348660535787,0.6742368742368742
boruta,none,cnn,0,400.0,0.8425916849989051,0.3495934959349593,0.2158562367864693
boruta,pca100,xgboost,0,100.0,0.8787462181799871,0.6922431027588964,0.6990040129575013
boruta,pca100,random_forest,0,100.0,0.9007640614752672,0.6733173397307742,0.6828548479632817
boruta,pca100,logistic,0,100.0,0.9069259011374976,0.6996534719445555,0.6914516004030071
boruta,pca100,elasticnet,0,100.0,0.9097978043980036,0.6996534719445555,0.690647713311364
boruta,pca100,svm,0,100.0,0.9105663033796356,0.7524523523923764,0.7335184838461378
boruta,pca100,mlp,0,100.0,0.8824249868148648,0.6912501666000267,0.6873243715348979
boruta,pca100,cnn,0,100.0,0.8932102599133827,0.6822670931627349,0.6632531115976473
boruta,pca200,xgboost,0,200.0,0.8962708863127782,0.6800479808076769,0.6883442265795207
boruta,pca200,random_forest,0,200.0,0.899337062340619,0.6743102758896441,0.688413214990138
boruta,pca200,logistic,0,200.0,0.9058971872821496,0.6775223244035719,0.6725552947869996
boruta,pca200,elasticnet,0,200.0,0.9080635549339572,0.6775223244035719,0.670347108197173
boruta,pca200,svm,0,200.0,0.9117829688955488,0.7286485405837665,0.7221116754813147
boruta,pca200,mlp,0,200.0,0.8829761126411094,0.6867786218845794,0.6902742129233536
boruta,pca200,cnn,0,200.0,0.7767287126112223,0.520451819272291,0.3955065970699435
boruta,pca300,xgboost,0,300.0,0.8941709786961228,0.703578568572571,0.7112417150878688
boruta,pca300,random_forest,0,300.0,0.8962929902869613,0.6559709449553512,0.6717333904231785
boruta,pca300,logistic,0,300.0,0.9102160977727092,0.7160469145675062,0.7126649960251646
boruta,pca300,elasticnet,0,300.0,0.9161569098595596,0.6829868052778889,0.6769588467798187
boruta,pca300,svm,0,300.0,0.9145302051372304,0.7453152072504331,0.7378405907817672
boruta,pca300,mlp,0,300.0,0.8817385043450173,0.7161801945888312,0.724847633938543
boruta,pca300,cnn,0,300.0,0.8644995043204386,0.7337598294015727,0.6573255185775095
boruta,pls20,xgboost,0,20.0,0.8732091111633412,0.6814474210315873,0.6800438233968967
boruta,pls20,random_forest,0,20.0,0.8749977458558078,0.6385845661735305,0.6452968284087829
boruta,pls20,logistic,0,20.0,0.890664403542651,0.6985205917632946,0.6883449031786628
