filter,reducer,model,fold,n_features,auroc,bal_acc,f1_macro
none,none,logistic,0,12,0.8667040246482979,0.7143342662934825,0.6813941299790356
none,none,elasticnet,0,12,0.8689836434973675,0.7143342662934825,0.6813941299790356
none,none,svm,0,12,0.8559429294219038,0.6937358389977343,0.6684724463986443
none,none,random_forest,0,12,0.873364557514035,0.6668599226975876,0.6623295690599388
none,none,xgboost,0,12,0.8603735771224331,0.6056577369052379,0.6062133944486886
none,none,mlp,0,12,0.8789531530603728,0.6916166866586698,0.6482851543361098
none,none,logistic,1,12,0.8466767958974649,0.6678045515394913,0.6275579232200237
none,none,elasticnet,1,12,0.8475955829564438,0.6637884872824632,0.6231063058019443
none,none,svm,1,12,0.8170208114236654,0.6113119143239625,0.5953119395742347
none,none,random_forest,1,12,0.879729683779134,0.7030120481927712,0.6863880317905564
none,none,xgboost,1,12,0.8615832931381534,0.7175368139223561,0.7131910235358511
none,none,mlp,1,12,0.8540373717923724,0.6119143239625168,0.586717178391554
none,none,logistic,2,12,0.8615019995424696,0.7176729308276689,0.6762527233115468
none,none,elasticnet,2,12,0.8625007649043784,0.7176729308276689,0.6762527233115468
none,none,svm,2,12,0.8473518173989619,0.6304544848727175,0.6315419581006055
none,none,random_forest,2,12,0.868004790066815,0.6850593096094896,0.6733789173789173
none,none,xgboost,2,12,0.8486613263174534,0.6823937091829935,0.6705403326470357
none,none,mlp,2,12,0.8601746222167335,0.6788751166200186,0.6476202359503901
none,none,logistic,3,12,0.8108278904523373,0.515040650406504,0.5205490573696979
none,none,elasticnet,3,12,0.8107734242214004,0.515040650406504,0.5205490573696979
none,none,svm,3,12,0.7747509680806557,0.5191056910569105,0.5220775127702398
none,none,random_forest,3,12,0.829519235410871,0.6268292682926829,0.6221593810141001
none,none,xgboost,3,12,0.8317772147791901,0.5697831978319784,0.5730166256482047
none,none,mlp,3,12,0.8085078273456029,0.5357723577235772,0.5354328091036952
none,none,logistic,4,12,0.8169342785022365,0.6422183507549362,0.6230810084976751
none,none,elasticnet,4,12,0.8173245087619644,0.6477739063104917,0.628544677300074
none,none,svm,4,12,0.8157296755472146,0.5757452574525745,0.5733327667289932
none,none,random_forest,4,12,0.8688115250999423,0.6519163763066201,0.6526801313405356
none,none,xgboost,4,12,0.8647384790623787,0.6530197444831591,0.6486098909016534
none,none,mlp,4,12,0.8018635653094391,0.6141502129307007,0.5996773288439955
