filter,reducer,model,fold,n_features,auroc,bal_acc,f1_macro
none,none,logistic,0,6,0.9278643723954488,0.7915233906437424,0.7532575061517176
none,none,elasticnet,0,6,0.9278643723954488,0.7915233906437424,0.7532575061517176
none,none,svm,0,6,0.9053893754491944,0.7472610955617753,0.717179905628997
none,none,random_forest,0,6,0.9157795508282764,0.687458349993336,0.679142224292726
none,none,xgboost,0,6,0.8831385226700302,0.7000599760095961,0.6875011375425442
none,none,mlp,0,6,0.91874628020013,0.7489337598294016,0.7087629994526546
none,none,logistic,1,6,0.92834398221578,0.7820615796519411,0.7679972579421471
none,none,elasticnet,1,6,0.928331570335021,0.7820615796519411,0.7661765834611928
none,none,svm,1,6,0.9259249560761432,0.8098393574297189,0.7840154408407006
none,none,random_forest,1,6,0.9224987191620716,0.7265060240963855,0.7266082093907148
none,none,xgboost,1,6,0.8951932415656243,0.7082998661311914,0.7068355405635659
none,none,mlp,1,6,0.9353836135725832,0.8249665327978581,0.7907896981067712
none,none,logistic,2,6,0.9291662157379924,0.8049780087964814,0.7683668780442975
none,none,elasticnet,2,6,0.9294434858802576,0.8049780087964814,0.7683668780442975
none,none,svm,2,6,0.8924126672373779,0.8104424896707983,0.775192822829948
none,none,random_forest,2,6,0.8987935537798598,0.7287818206050912,0.7111965811965812
none,none,xgboost,2,6,0.8655783296457745,0.6210582433693189,0.6171583310306714
none,none,mlp,2,6,0.91726597015684,0.7997867519658803,0.7521367521367521
none,none,logistic,3,6,0.8735370690319718,0.6926829268292684,0.673271650948772
none,none,elasticnet,3,6,0.8736544399239906,0.6926829268292684,0.673271650948772
none,none,svm,3,6,0.8335057411261767,0.6926829268292684,0.665435623316933
none,none,random_forest,3,6,0.8440982396050142,0.6871273712737128,0.6732614967909085
none,none,xgboost,3,6,0.8463420995712304,0.709349593495935,0.6929629629629629
none,none,mlp,3,6,0.8811249718407154,0.7037940379403794,0.6694145758661888
none,none,logistic,4,6,0.9233751464976292,0.7837591947348045,0.7521104655045749
none,none,elasticnet,4,6,0.9234215804391348,0.7837591947348045,0.7521104655045749
none,none,svm,4,6,0.929983951501374,0.7870305845915602,0.7494821693708021
none,none,random_forest,4,6,0.9187684252699612,0.7280100658149439,0.7080571656842842
none,none,xgboost,4,6,0.8834837626533522,0.6696864111498257,0.6593805981173831
none,none,mlp,4,6,0.9246363121953682,0.8165892373209447,0.7792748917748917
