filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
iqr,none,ridge,0,6444,0.6524667103858205,0.8216939078751857,0.6939300840711303,0.6776100356677394,0.536000756927678,0.8100213229450847,0.3268397780534527,0.4672024347328882,1.09712593398808
iqr,none,lasso,0,6444,0.803754559819164,0.6233925290875689,0.7301352604892516,1.3750778848162355,0.7431276670914626,0.4108504829180618,0.1119164162111861,0.6801165125778837,1.5014383953001538
iqr,none,elasticnet,0,6444,0.7204396147641274,0.7861507128309573,0.7236304513328722,1.1465167274760564,0.6098979117060495,0.4761598497687435,0.3070274474773733,0.5135786936196077,1.269457058536934
iqr,none,svr,0,6444,0.6745641946432124,0.8308135349172067,0.7429083402872333,0.5403241847267487,0.5218590979959228,0.766181004531531,0.6234630524015463,0.3286263876566757,1.2669314405468493
iqr,none,random_forest,0,6444,0.7216345679012347,0.8172154524241638,0.7696703163893682,0.5744,0.4194074074074074,0.7566666666666666,0.34,0.7353333333333335,1.504
iqr,none,xgboost,0,6444,0.739887938827828,0.7657557166759621,0.762378416784851,0.5558802291750908,0.4591121930215094,0.7249601972599824,0.3694016138712565,0.7628105878829956,1.567162811756134
iqr,none,coral,0,6444,0.7952074863039601,0.7768963807635102,0.6882827270308189,0.3374587055295706,0.4939473061649888,1.0844019651412964,0.3020321528116862,0.7728879849116007,1.780516803264618
iqr,none,ordinal_mlp,0,6444,0.8965241563632902,0.6505925623212097,0.6907811650931557,1.0018498495221138,1.0320507674305528,1.286155773202578,1.023513237635295,0.0372175375620524,0.9983577728271484
iqr,none,corn,0,6444,0.7117283950617285,0.8103078024337866,0.6968984146770663,0.25,0.3703703703703703,1.0666666666666669,1.0,0.3333333333333333,1.25
iqr,none,mord_ridge,0,6444,0.6290123456790123,0.8216939078751857,0.7086473037357841,0.55,0.4074074074074074,0.7333333333333333,0.3333333333333333,0.5,1.25
iqr,none,mord_logistic_at,0,6444,0.605246913580247,0.8142089273194673,0.7030997072384685,0.45,0.4814814814814814,0.8666666666666667,0.3333333333333333,0.5,1.0
iqr,none,ogboost,0,6444,0.6219135802469136,0.8301886792452831,0.7352243284727313,0.45,0.4814814814814814,0.8,0.3333333333333333,0.6666666666666666,1.0
iqr,chrom_hmm,ridge,0,15,0.6966766504748548,0.7510204081632653,0.7351764875854457,0.9527791333206068,0.5885522695135422,0.61979397036335,0.3368986198210565,0.4892870874350275,1.1927488223955458
iqr,chrom_hmm,lasso,0,15,1.3390189098992238,0.335775724753106,0.6312621613122833,2.299015219823956,1.348257717292493,0.4218903633883284,0.3664544163593843,1.2985430987241349,2.2999526438070466
iqr,chrom_hmm,elasticnet,0,15,1.2474085064092024,0.335775724753106,0.722950403102887,2.139702927786611,1.2631694648284693,0.3774729167284759,0.2900670296236012,1.2049505792831323,2.209088120204924
iqr,chrom_hmm,svr,0,15,0.6404725063213462,0.8261474269819193,0.7778125548740786,0.379229394166017,0.564359812468274,0.8822723389329713,0.5275940962402165,0.5290131812312076,0.9603662148893912
iqr,chrom_hmm,random_forest,0,15,0.771195061728395,0.7163781624500667,0.6990600131103659,0.6671,0.7457037037037038,0.7258666666666667,0.438,0.522,1.5284999999999995
iqr,chrom_hmm,xgboost,0,15,0.8041882953779013,0.6742349457058243,0.6517523101548787,0.7267624963074922,0.9009730360574192,0.7129077990849813,0.5853192011515299,0.4243571758270263,1.4748100638389587
iqr,chrom_hmm,coral,0,15,0.8618712129347302,0.7523184799819046,0.7833564263141749,0.2481652941554784,0.5061715361144807,1.159855291247368,0.8949049313863119,0.7429829239845276,1.6191473007202148
iqr,chrom_hmm,ordinal_mlp,0,15,0.9836467042933276,0.7075606276747504,0.7644776961035006,0.3606075078248977,0.4307749492150766,1.1201010704040528,1.2312092979749043,0.9779464602470398,1.781240940093994
iqr,chrom_hmm,corn,0,15,0.6743827160493826,0.8006970159006752,0.721763640836629,0.2,0.6296296296296297,1.1333333333333333,0.6666666666666666,0.6666666666666666,0.75
iqr,chrom_hmm,mord_ridge,0,15,0.7274691358024691,0.7510204081632653,0.7427318973035772,0.95,0.4814814814814814,0.6,0.3333333333333333,0.5,1.5
iqr,chrom_hmm,mord_logistic_at,0,15,0.6558641975308642,0.8069919883466861,0.7372753300962143,0.75,0.5185185185185185,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
iqr,chrom_hmm,ogboost,0,15,0.7182098765432098,0.7408009758080911,0.6786346039656561,0.3,0.925925925925926,1.0,0.6666666666666666,0.6666666666666666,0.75
iqr,pca100,ridge,0,100,0.6533926908674842,0.8127700432069132,0.7064961926686815,0.6558272194407777,0.5564266923559181,0.8355862376970306,0.5831481476803032,0.4337108078302595,0.8556570402006154
iqr,pca100,lasso,0,100,0.6712383585246323,0.8183652875882946,0.7057422261528286,0.7755377252742763,0.6571512250465438,0.7233524628409744,0.5768830603104463,0.2298391307835305,1.064666546892022
iqr,pca100,elasticnet,0,100,0.6583363717785475,0.8213851761846902,0.7071762408986668,0.7201855804688739,0.6324390513110669,0.7105202892890609,0.6237988301176821,0.264445652679651,0.9986288268049504
iqr,pca100,svr,0,100,0.633547285721431,0.8209169054441261,0.7573963243173512,0.416862677778501,0.5458807574293443,0.8143939600352595,0.6556466620549809,0.2379935235212664,1.1305061335092343
iqr,pca100,random_forest,0,100,0.7609425925925924,0.7732478240952817,0.7092066460933845,0.4253,0.7128888888888889,0.8034666666666667,0.4806666666666666,0.5383333333333333,1.605
iqr,pca100,xgboost,0,100,0.9091049713910454,0.7031963470319635,0.7047960720937188,0.4823478823527694,0.5965609662234783,0.8451127032438914,0.8848528861999512,0.9317779938379924,1.7139773964881897
iqr,pca100,coral,0,100,0.6222128352610233,0.8259052924791086,0.7328111024376713,0.4642906118184328,0.4728382704434571,0.8571023027102153,0.4652528762817383,0.4017542997996012,1.072038650512695
iqr,pca100,ordinal_mlp,0,100,0.6805923346016142,0.8438690022848438,0.7321162705505126,0.4435852378606796,0.4553556938966115,0.8126838674147924,0.4830164909362793,0.7553595701853434,1.133553147315979
iqr,pca100,corn,0,100,0.6228395061728395,0.8275035936751318,0.7158967877547572,0.4,0.3703703703703703,0.8,0.3333333333333333,0.8333333333333334,1.0
iqr,pca100,mord_ridge,0,100,0.6191358024691358,0.8127700432069132,0.6942288510761524,0.6,0.4814814814814814,0.8,0.6666666666666666,0.1666666666666666,1.0
iqr,pca100,mord_logistic_at,0,100,0.6314814814814814,0.832894470326109,0.7171624477714049,0.3,0.5555555555555556,0.9333333333333332,1.0,0.5,0.5
iqr,pca100,ogboost,0,100,0.745679012345679,0.7684279191128507,0.722225024322523,0.15,0.7407407407407407,1.0,0.6666666666666666,0.6666666666666666,1.25
iqr,pca200,ridge,0,200,0.7068058014357969,0.8268398268398268,0.6819701054176962,0.6072430913056385,0.4688962986866031,0.8937147377098414,0.5778062009088142,0.5910908629453971,1.1020836170584865
iqr,pca200,lasso,0,200,0.6791475513914526,0.8076923076923077,0.7014401819153139,0.7878041049913405,0.6613248699420146,0.740409241342119,0.6155566034470042,0.1984998991005928,1.0712905895256448
iqr,pca200,elasticnet,0,200,0.6653367123311477,0.8263642806520198,0.6997400613403512,0.7468087714754269,0.6349743037340834,0.7029615218798786,0.6661548100573796,0.2152536745415608,1.0258671922985565
iqr,pca200,svr,0,200,0.6300916005051281,0.8302687411598302,0.7447562974339319,0.39846075182905,0.5131227697145886,0.8628443167951253,0.6319810217372321,0.2354127049491844,1.1387280380055882
iqr,pca200,random_forest,0,200,0.8430796296296297,0.7165991902834008,0.6869939182839258,0.3826,0.8104444444444445,0.9069333333333331,0.4646666666666668,0.5793333333333334,1.9145
iqr,pca200,xgboost,0,200,0.9221754703693736,0.693465079721536,0.6642592841237357,0.3893342856317758,0.7084934377559909,1.108730186522007,0.7105197906494141,0.7784835497538248,1.8374915719032288
iqr,pca200,coral,0,200,0.7471474039333837,0.794025536015418,0.7189588156660178,0.4521093904972076,0.5485058344072766,0.8984520147244136,0.6835738817850748,0.4835155804951985,1.4167277216911316
iqr,pca200,ordinal_mlp,0,200,0.7756635839165545,0.8031496062992126,0.707057971641278,0.485146390274167,0.368083479779738,0.8186182250579198,0.7240215142567953,0.9796504974365234,1.2784613966941831
iqr,pca200,corn,0,200,0.6895061728395061,0.8043782021425245,0.6643563518626903,0.4,0.3703703703703703,1.2,1.0,0.1666666666666666,1.0
iqr,pca200,mord_ridge,0,200,0.5839506172839507,0.8268398268398268,0.7013365627934951,0.5,0.3703703703703703,0.8,0.3333333333333333,0.5,1.0
iqr,pca200,mord_logistic_at,0,200,0.7333333333333334,0.8234565352054511,0.6823765877933173,0.35,0.3333333333333333,1.1333333333333333,1.3333333333333333,0.5,0.75
iqr,pca200,ogboost,0,200,0.8432098765432098,0.7204132045811813,0.6608823505284989,0.35,0.925925925925926,0.8666666666666667,0.6666666666666666,0.5,1.75
iqr,pca300,ridge,0,298,0.6524667103858199,0.8216939078751857,0.6939300840711303,0.6776100356677328,0.5360007569276802,0.8100213229450792,0.3268397780534582,0.4672024347328873,1.097125933988082
iqr,pca300,lasso,0,298,0.6799144991039411,0.8114370224303673,0.6995035228255736,0.7918019718745621,0.6628082816144434,0.741105181680913,0.5956635735845688,0.209941779933195,1.078166205935965
iqr,pca300,elasticnet,0,298,0.6648107800854729,0.8098434004474273,0.7132375403398385,0.7358923093461376,0.6259524822520577,0.6891954564862944,0.6752705112605196,0.2172032010579954,1.0453507201098329
iqr,pca300,svr,0,298,0.621035364514726,0.8451479697178252,0.7487035338992803,0.3681739901921625,0.5301091098581996,0.8690066699735204,0.6253401123906102,0.2191738096017674,1.1144084950720952
iqr,pca300,random_forest,0,298,0.8664413580246914,0.7099930118798043,0.6893076264563746,0.3402,0.7828148148148147,0.8581333333333333,0.438,0.859,1.9205
iqr,pca300,xgboost,0,298,0.9970274725491984,0.6217228464419475,0.6399253844160068,0.4773748006671667,0.7840511369070521,1.018659879763921,0.3444160620371501,1.0484971205393474,2.309165835380554
iqr,pca300,coral,0,298,0.6490473360478602,0.8182466143977192,0.7068214331265006,0.4422826780006289,0.5368203988505734,0.8997412900129954,0.3748335838317871,0.397003968556722,1.2436020970344543
iqr,pca300,ordinal_mlp,0,298,0.6877299274869815,0.8374613003095975,0.7180274452640817,0.4781008655205369,0.3411103433205021,0.8644580557942391,0.5899663766225179,0.675979733467102,1.176764190196991
