filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
none,none,ridge,0,12,0.8927305008576584,0.5582932692307692,0.6850007551382821,1.4700083859357769,0.7455058401840619,0.4743338310827948,0.3386857146021468,0.6062938962144667,1.7215553371267038
none,none,lasso,0,12,1.4592704818518325,0.1060786650774732,0.1820163871212372,2.4395569624621665,1.4714620265238203,0.4797303804466457,0.4416792917496628,1.427250011975132,2.495944217953567
none,none,elasticnet,0,12,1.3758920794362668,0.2346441338966525,0.503915738418981,2.342703242155997,1.380609241744884,0.4500271895079999,0.4446403335422257,1.2623321535955794,2.3750403160709146
none,none,svr,0,12,1.141889454579484,0.2354368932038835,0.3147292775685527,2.278496465251165,1.2377992759032328,0.5090077595461951,0.5187840726578309,0.923282219640188,1.383966934478292
none,none,random_forest,0,12,0.6545006172839506,0.847457627118644,0.8048945477201549,0.5395,0.4497037037037036,0.6768000000000001,0.3473333333333334,0.3246666666666665,1.589
none,none,xgboost,0,12,0.7570236913825351,0.7698209718670077,0.7645072634178479,0.3998062340542674,0.5060416178570853,0.8298884242773056,0.5196185906728109,0.6506213347117106,1.6361659467220306
none,none,coral,0,12,0.7126431364520096,0.7512437810945274,0.7515715633909568,0.96027589738369,0.5625503880006296,0.7209421078364054,0.3264182408650716,0.2797482411066691,1.4259239435195925
none,none,ordinal_mlp,0,12,0.6939941240865508,0.7513346445630795,0.7179535269782137,1.1861427515745162,0.5454145581633957,0.5158278107643127,0.1592069466908773,0.3212436437606811,1.4361290335655212
none,none,corn,0,12,0.5824074074074074,0.813782619711173,0.7054864831031827,0.5,0.4444444444444444,0.8,0.3333333333333333,0.1666666666666666,1.25
none,none,mord_ridge,0,12,0.9132716049382716,0.5582932692307692,0.6124697223989286,1.5,0.6296296296296297,0.6,0.3333333333333333,0.6666666666666666,1.75
none,none,mord_logistic_at,0,12,0.7515432098765432,0.7307206068268016,0.7237661475427813,1.1,0.5925925925925926,0.7333333333333333,0.6666666666666666,0.1666666666666666,1.25
none,none,ogboost,0,12,0.5583333333333333,0.8388455866863282,0.7702509122090407,0.15,0.6666666666666666,0.8666666666666667,0.3333333333333333,0.3333333333333333,1.0
none,none,ridge,1,12,1.122689519784088,0.6142489760929613,0.6344896305101625,1.3260721175023666,0.887956016512969,0.4889577444722259,1.1091482714968446,1.3047038391173549,1.6192991296027677
