filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
none,none,ridge,0,12,0.6994775112462639,0.8099378881987578,0.7827798636844049,0.5942345434004453,0.5185425892083877,0.8154757752268805,0.5280606901566807,0.4430923940538928,1.2974590754312965
none,none,lasso,0,12,0.9577136109706172,0.588271990018715,0.7869932059788779,1.3072730132199202,0.8603961504081811,0.6075827736788696,0.1416653899507861,0.9495585423512684,1.879805796214678
none,none,elasticnet,0,12,0.9161632483116758,0.6229716831053134,0.8129533079757015,1.3298095098182998,0.7607536602329819,0.5632631060674347,0.1653794512152542,0.8654512528052165,1.812322509730868
none,none,svr,0,12,0.65465357818848,0.8087431693989071,0.7455398312641323,0.3510013954977269,0.6381551713502432,0.7703933480125775,0.6680493984437583,0.4127001848113419,1.0876219710152326
none,none,random_forest,0,12,0.7552401234567901,0.8003609293931875,0.7353517297591925,0.43,0.7127407407407408,0.8212,0.534,0.6490000000000001,1.3845
none,none,xgboost,0,12,0.8128436462801342,0.7635850388143967,0.7126905450244158,0.4827830076683312,0.6187098900339117,0.914478478829066,0.634638786315918,0.8241850336392721,1.4022666811943054
none,none,coral,0,12,0.7940772242752123,0.7426120114394661,0.7004792441990305,0.5808524131774903,0.7615087573175077,0.8439368625481923,0.6583347320556641,0.5028267701466879,1.4170038104057312
none,none,ordinal_mlp,0,12,0.7864476753513755,0.7728911319394376,0.710768669591849,0.5621231809258461,0.6755421404485349,0.8516420940558116,0.6912163098653158,0.4921119213104248,1.4460504055023191
none,none,corn,0,12,0.6259259259259259,0.817451205510907,0.7462360797999052,0.15,0.5555555555555556,0.8,0.6666666666666666,0.3333333333333333,1.25
none,none,mord_ridge,0,12,0.6462962962962963,0.8099378881987578,0.7411090783105674,0.7,0.4444444444444444,0.7333333333333333,0.6666666666666666,0.3333333333333333,1.0
none,none,mord_logistic_at,0,12,0.5669753086419752,0.8510830324909747,0.7916349359963942,0.25,0.5185185185185185,0.8,0.6666666666666666,0.1666666666666666,1.0
none,none,ogboost,0,12,0.7055555555555556,0.8087912087912088,0.7847298925049487,0.15,0.6666666666666666,0.6666666666666666,1.0,0.5,1.25
none,none,ridge,1,12,0.7987313883010687,0.7629727800999082,0.8085583872435191,0.5900128421594049,0.5122252070235644,0.5669841152576723,0.6220299274761257,0.2220006660059515,2.279135571883694
none,none,lasso,1,12,0.9785905947673496,0.609126731918139,0.7550612757063028,1.3639650641494747,0.6659429232075617,0.3854083079188156,0.321018316758672,0.7399344578548085,2.3952744987147643
none,none,elasticnet,1,12,0.9713396907221604,0.6043851286939943,0.7966947637791766,1.2876635922169624,0.6556694380364684,0.427639939073464,0.4182815710800603,0.7278743943770747,2.310909209548932
none,none,svr,1,12,0.8710460122820045,0.7532894736842105,0.7913760782908037,0.4302914996241071,0.5116758601996726,0.5878987358338039,0.7945970235520449,0.4575553778700015,2.4442575766123973
none,none,random_forest,1,12,1.0105024691358024,0.6856263596328327,0.7212660774490409,0.5292,0.4941481481481481,0.6152857142857142,0.9926666666666666,0.5837142857142857,2.848
none,none,xgboost,1,12,0.9874726977185664,0.7158193874329017,0.7015346159163731,0.558585820614826,0.5660649833303911,0.6153844807829175,0.8642055988311768,0.6909865822110858,2.6296087205410004
none,none,coral,1,12,0.8577612117655589,0.7513976153960322,0.7958526385768507,0.6396027281880379,0.4694771391374093,0.661745228937694,0.6195071538289388,0.4133008888789585,2.3429341316223145
none,none,ordinal_mlp,1,12,0.9000271829308341,0.7283856159143076,0.7770894981039801,0.5883060410618782,0.4371428622139824,0.693617684500558,0.859644611676534,0.3539697783333914,2.4674821197986603
none,none,corn,1,12,0.8997354497354498,0.7366142300476259,0.749972435503647,0.2,0.5555555555555556,0.7142857142857143,1.0,0.4285714285714285,2.5
none,none,mord_ridge,1,12,0.7029982363315695,0.7629727800999082,0.7714787640997963,0.55,0.3703703703703703,0.5714285714285714,0.3333333333333333,0.1428571428571428,2.25
none,none,mord_logistic_at,1,12,0.7219576719576719,0.7637682542712608,0.762364207305364,0.3,0.5555555555555556,0.5,0.3333333333333333,0.1428571428571428,2.5
none,none,ogboost,1,12,0.8663139329805997,0.7544893378226711,0.7857907311729396,0.1,0.7407407407407407,0.4285714285714285,1.0,0.4285714285714285,2.5
none,none,ridge,2,12,1.0312581673383223,0.676388333999201,0.7299578566031685,0.8238985547541953,0.7646560584745197,1.268954953371792,1.6027422222713807,0.4101819653703861,1.3171152497876617
none,none,lasso,2,12,1.128222476446113,0.4680256911477242,0.7267793703108468,1.46380579271361,0.9372486520858964,1.005559992848866,0.7336582562740906,0.8073830279495681,1.8216791368046483
none,none,elasticnet,2,12,1.1067098150361343,0.5050215208034433,0.7301500441464253,1.4901554172154807,0.8632284388229785,0.9758825185823674,0.8031613890508394,0.762163883570765,1.7456672429743754
none,none,svr,2,12,0.9839182523008544,0.7087689353531044,0.7278585772845189,0.5761539074255566,0.6699576539873788,1.048173946099597,1.3769374904079923,0.585639849557415,1.6466466663271857
none,none,random_forest,2,12,0.9847265432098764,0.7111762243616575,0.7195160459908793,0.6742,0.6305925925925926,1.0284,1.2346666666666666,0.7280000000000001,1.6125
none,none,xgboost,2,12,1.0817951283607357,0.6198453608247423,0.6547829598754646,0.7818969537504017,0.6997347246441576,1.1126010129849115,1.2157920598983765,0.7839258909225464,1.89682012796402
none,none,coral,2,12,0.9928701522449652,0.6897007042253521,0.7283168706569001,0.8192497149109841,0.6315297385056814,1.1280572275320688,1.5001192092895508,0.4685502052307129,1.4097148180007937
none,none,ordinal_mlp,2,12,1.027714123448104,0.6719319562575942,0.7211615805848826,0.7853226467967034,0.6194213452162566,1.1591260015964509,1.5616660118103027,0.5483380754788717,1.492410659790039
none,none,corn,2,12,1.0611111111111111,0.6854440789473684,0.7147245746249419,0.5,0.6666666666666666,0.8666666666666667,1.6666666666666667,0.6666666666666666,2.0
none,none,mord_ridge,2,12,0.9700617283950618,0.676388333999201,0.7384818562284893,0.7,0.7037037037037037,1.3333333333333333,1.6666666666666667,0.1666666666666666,1.25
none,none,mord_logistic_at,2,12,1.013888888888889,0.6998867497168743,0.7544558511789544,0.5,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.25
none,none,ogboost,2,12,1.0395061728395063,0.7020994893134103,0.7187807765973102,0.5,0.7037037037037037,0.8666666666666667,1.6666666666666667,1.0,1.5
none,none,ridge,3,12,0.7756224978791552,0.7311503255638389,0.7725389365730086,0.7855490024702748,0.7214987257253097,0.778475819942134,0.6496530962171478,0.2048594977720664,1.5136988451479982
none,none,lasso,3,12,0.9984943148452629,0.4920946194386567,0.7699005998480783,1.495934375648064,0.9261966725955202,0.6644281281821861,0.1459112684427606,0.8430674987409595,1.9154279454620864
none,none,elasticnet,3,12,0.9482436988867322,0.5184172849147468,0.7620010185430239,1.5482318508630923,0.855949709869767,0.5751958928580062,0.0984571814534967,0.7548994937878826,1.856728064488148
none,none,svr,3,12,0.7236956407208618,0.7964875036186432,0.7791116350807297,0.5703991679511514,0.6678905290747847,0.7601976884278331,0.6677587978111479,0.2419273777048729,1.4340002833553804
none,none,random_forest,3,12,0.7698306878306878,0.7094148070108228,0.7698637007422121,0.8214285714285714,0.6815555555555556,0.8979999999999999,0.5286666666666667,0.4793333333333333,1.21
none,none,xgboost,3,12,0.855883666770812,0.7291949037679588,0.7626798888114271,0.8221290910705215,0.6327738436283888,1.1585347311837333,0.836250384648641,0.4911919434865315,1.1944220066070557
none,none,coral,3,12,0.7386297031947966,0.771940123275609,0.7686354325296908,0.7400499199117933,0.6362849981696518,0.7084936840193612,0.7010930379231771,0.1948414246241251,1.4510151545206706
none,none,ordinal_mlp,3,12,0.7092739362565298,0.7698065519587829,0.7782167606360166,0.6985378009932381,0.5763089259465536,0.669552879674094,0.6402955055236816,0.2390724023183187,1.4318761030832927
none,none,corn,3,12,0.5970017636684304,0.8244067796610169,0.7659582263792042,0.3333333333333333,0.6296296296296297,0.7857142857142857,0.3333333333333333,0.1666666666666666,1.3333333333333333
none,none,mord_ridge,3,12,0.8240740740740741,0.7311503255638389,0.7703104120997658,0.7142857142857143,0.7777777777777778,0.7857142857142857,1.0,0.0,1.6666666666666667
none,none,mord_logistic_at,3,12,0.8020282186948854,0.7599817268158977,0.7668060209434983,0.4761904761904761,0.7407407407407407,0.9285714285714286,1.0,0.0,1.6666666666666667
none,none,ogboost,3,12,0.808641975308642,0.7503772747447848,0.7919197968719214,0.4761904761904761,0.8518518518518519,0.8571428571428571,0.3333333333333333,1.0,1.3333333333333333
none,none,ridge,4,12,1.18478798064692,0.6365710884016271,0.6189462182670578,0.7503119609238402,0.4972377874879886,1.2559697568294674,0.8577613341608754,0.630520807051898,3.116926237427451
none,none,lasso,4,12,1.1607981364858535,0.4198522741998187,0.6279430221963695,1.4580130642350038,0.6688532875320582,0.8775411467289219,0.3986676228915429,0.7902295738739333,2.7714841236536607
none,none,elasticnet,4,12,1.157940064394967,0.4865649047558976,0.6239530012756646,1.4029922027907424,0.641564972451299,0.903209368891767,0.3394201398818328,0.8419149596772056,2.818538742676956
none,none,svr,4,12,1.2777184650394484,0.6079236276849642,0.6131999719217952,0.645017403052688,0.5792682692172754,1.2345716751854665,1.121199735447804,0.7003134144564773,3.3859402928769797
none,none,random_forest,4,12,1.158178042328042,0.6122578596379803,0.5905439174926728,0.7211000000000001,0.5577777777777778,1.14,1.1526666666666667,0.9048571428571428,2.4726666666666666
none,none,xgboost,4,12,1.289507631539668,0.5443022838694249,0.5647189069123015,0.7953489512205124,0.3856306109163496,0.884184445653643,1.089678406715393,1.3818404142345702,3.200362960497538
none,none,coral,4,12,1.22666269398411,0.6232035785666699,0.6326108845090092,0.8016706459224224,0.5240655315143091,1.229672252067498,1.1583970387776692,0.5583339929580688,3.0878367026646933
none,none,ordinal_mlp,4,12,1.234850059352434,0.6363724822418994,0.6417309323277636,0.7712027370929718,0.4617634371474937,1.2330263895647866,1.2049128611882527,0.5954710926328387,3.1427238384882608
none,none,corn,4,12,1.2666666666666666,0.6204792643027678,0.6396168541882269,0.6,0.6666666666666666,1.2857142857142858,1.3333333333333333,0.7142857142857143,3.0
none,none,mord_ridge,4,12,1.0685185185185184,0.6365710884016271,0.6595492802664701,0.8,0.4444444444444444,1.0714285714285714,0.6666666666666666,0.4285714285714285,3.0
none,none,mord_logistic_at,4,12,1.1533068783068785,0.6409442941121583,0.6422444992691211,0.65,0.5555555555555556,1.1428571428571428,1.0,0.5714285714285714,3.0
none,none,ogboost,4,12,1.234611992945326,0.6174978462716569,0.633055861898532,0.45,0.8148148148148148,1.1428571428571428,1.3333333333333333,1.0,2.6666666666666665
