feature,importance_mean,importance_std
total_burden,0.13380664544091103,0.021820402993463658
fga,0.039844256149601465,0.008961583524105853
T_CD8,0.028909601273832002,0.011346127450796278
Melanocyte,0.028108832085074243,0.014856845989402661
Other_Lymphoid,0.017164239862601644,0.006102089171533903
horvath_eaa,0.014316964411142224,0.00665073077681571
Keratinocyte,0.007360528133897593,0.006500810272780058
Stromal,0.00521344172745978,0.005145433310889547
Th,0.0015072610843435586,0.0020423952953441188
Endothelial,0.0004922369290686157,0.0077337147302129405
T_reg,-0.0013588078356686617,0.0026223859146817462
Myeloid,-0.008589713220556182,0.008413385094798779
