feature,importance_mean,importance_std
total_burden,0.5185484544695071,0.1179542413961082
fga,0.4630599937343358,0.10553496285039018
horvath_eaa,0.08253315580618206,0.059312187177959386
Th,0.07244360902255637,0.028162432537481148
Other_Lymphoid,0.06888523391812866,0.03670472002695335
Endothelial,0.0459865810359231,0.06537942979022218
T_CD8,0.020208333333333325,0.03895467260621172
Stromal,0.0036356516290726336,0.043563618682726506
Melanocyte,0.002660818713450259,0.03717696311038254
Myeloid,-0.0008333333333333304,0.0028259708263021852
T_reg,-0.0011865601503759414,0.02228563684967665
Keratinocyte,-0.009883040935672546,0.03694086812761653
