slideId,dim1,dim2,group,split
100937,-16.203705,3.9285047,NV,train
101230,25.645012,3.5778291,IM,train
101292,52.673958,-4.9221706,IM,train
101398,35.500256,3.512124,NV,train
101417,-2.9974403,-6.3341866,NV,train
101450,-28.329655,8.494614,NV,train
101543,50.49762,-4.2908654,IM,train
103741,2.0660431,8.849426,IM,train
103818,2.7612007,7.8795633,IM,train
103870,-20.53368,-15.557607,NIM,train
104317,-48.720303,-0.32810575,NV,train
104651,37.46315,0.96490324,IM,train
105229,-44.668835,-4.8145084,NV,train
105587,24.081587,6.9622297,NV,train
105591-2,-29.217558,-10.407339,NV,train
105827,-36.934914,2.4764066,NV,train
106162,22.453522,5.3373847,NV,train
106744-2,-40.46525,3.061218,NV,train
106914,27.422735,6.626523,IM,train
107862,44.628727,5.427366,IM,test
107920,18.5145,7.914453,NV,train
108136,40.226,-1.4685781,IM,train
108557,24.903757,-4.250723,NIM,train
109042-2,-4.7276306,6.0862565,NIM,train
109070,54.14552,0.8106308,IM,test
109256,1.162337,4.581836,NV,train
109342,13.53576,6.6143475,NV,test
109447-1,-30.953419,5.020052,NV,train
109447-2,-27.603289,-6.6082573,NV,train
112284,-5.2807255,-9.784453,NIM,train
112823,0.657862,-0.21402396,NV,test
113250,-34.162174,5.4620996,NV,train
113308,18.305428,4.7066264,NIM,train
114434,13.09815,2.3387938,IM,train
114780,-22.352365,-14.683024,NV,train
115420,-4.528411,5.5735006,NV,train
115452,45.952366,1.5421363,IM,train
115530,-43.99378,-1.9125911,NV,train
115652,-22.860556,3.164035,NV,train
115670,43.330914,1.0187569,IM,train
115686,52.372543,3.3124392,IM,train
115980,-38.87331,-2.3045077,NV,train
117728,-47.359867,-2.382452,NV,train
117854,14.608824,-3.5618594,NV,train
117956-1,-31.447664,-6.448597,NV,train
117956-2,9.608784,-4.0182457,NIM,train
118092,-24.34093,5.4921727,NV,train
118252,-37.372803,-3.8143892,NV,train
118397,-13.560544,5.3973455,NV,train
119025,37.082214,-5.8770995,NV,train
119659,38.242535,5.6763015,IM,train
119687,-33.089886,-7.494775,NV,train
121285,43.4409,0.21475154,IM,train
121495-1,18.185192,6.5817094,NIM,train
121495-2,53.364017,0.6561296,IM,train
121892,-14.474095,3.250157,NV,train
122032,47.56706,-0.06020503,IM,test
122370,-43.770252,-6.1752634,NV,train
122547,25.429386,-1.5918344,IM,train
124768-1,9.250713,2.6150255,NIM,train
124768-2,9.166031,2.6893075,NIM,train
125801,46.742775,1.1878396,IM,test
125853,-4.6360207,-4.4926195,IM,train
125887,16.254126,9.188843,NV,train
126304,53.758327,1.8354481,IM,train
126602,-32.93094,0.96763957,NV,train
127193,-15.39007,-1.9052026,NV,test
127328,-30.244179,-2.5772343,NV,train
127412,-0.40676302,4.9158316,NV,train
127505,5.166784,-1.9223713,NIM,train
127678,6.599616,7.6157064,IM,train
128648,-8.431661,2.0542774,NV,train
129537,-5.339518,3.2267914,NV,train
130113,29.458609,-1.2685233,IM,train
130236-1,-23.508625,8.152514,NV,train
130236-2,-4.615679,5.743676,NV,train
130656,-16.55854,-0.772351,NV,train
130714,11.701819,4.8332777,IM,train
131477,-6.906429,6.199867,NIM,train
131681,-48.02047,1.037852,NV,train
133084,-23.821138,-7.964986,NV,train
133624,21.923244,4.8539057,NV,train
133804,15.828934,2.436466,IM,train
134245-2,-36.836796,-8.694537,NV,train
135304,51.33729,1.1049286,IM,train
135379-1,-23.875908,-0.7056779,NV,train
135379-2,-19.99918,-11.683431,NV,train
135895,19.094776,2.9595773,IM,train
135964,-23.585773,-0.35382977,NV,train
136695,7.1259565,2.7152846,NV,train
136919,-9.04533,-4.2469406,IM,train
137491,-25.415539,1.9698471,NV,test
137723,-7.80891,-1.0035582,NV,train
140682,30.22403,-1.6675185,IM,train
141362,-33.34697,-5.882052,NV,train
142128-1,-42.055653,-5.922911,NV,train
142905,-18.550652,-15.623757,IM,train
143742,52.138203,-0.90230435,IM,train
144637,-17.922136,1.504183,NV,test
145604,30.203245,-1.2150062,IM,train
145619,36.84663,2.4833474,IM,train
146350,4.788561,-1.7875533,IM,train
146605,55.220047,0.19806106,IM,test
148034,11.078689,-1.6375049,IM,test
150297,-19.709154,-2.6858335,NV,test
151250,-0.6296819,1.1305041,NV,test
151962,31.855185,-5.0628595,IM,train
154133,-25.757969,-1.679713,NV,test
154396,52.79289,-2.8132298,IM,train
155171,31.183563,-2.0162969,IM,train
156110,-19.66627,3.897025,NV,train
157270,-9.114764,-0.9902246,IM,train
157458,51.138214,2.3419335,IM,test
158283,2.8124976,-1.9075795,IM,train
159603,24.91167,3.3013325,IM,train
161831,22.350098,6.846312,IM,train
162764,-29.22331,-2.8564305,NIM,train
163446,-36.433216,-4.612576,NV,train
163476,18.274426,1.8681585,IM,test
164077,16.309877,6.6230154,IM,train
166405,-17.511822,6.301168,NV,train
166809,23.74287,2.065215,IM,train
166949,53.56973,-4.0517635,IM,test
168172,-12.213196,2.2041762,NV,train
169105,-25.719229,-0.65429294,NV,train
170656,21.135023,7.35123,NIM,train
170829,-39.77833,-4.6497383,NV,train
171489,28.19702,1.846405,IM,train
173685,30.022196,-5.0804496,IM,train
175274,52.43399,-3.866912,IM,train
175453,-41.599094,-4.331404,NV,train
175669,5.5971193,-1.8655846,NIM,train
175945,-42.06999,-0.37676004,NV,train
176086,47.052483,2.549446,IM,train
176127,-27.788132,-8.86706,NV,train
177025,-35.513947,3.018726,NV,train
177224,3.9555078,-0.6128434,IM,train
177931,3.9274912,0.51712906,IM,train
178120,-22.785913,-12.832415,NV,train
178340,27.240017,-3.350251,IM,train
178456,-39.600365,-10.124083,NV,train
179728,-29.747374,0.14284565,NV,train
180363-1,-21.115856,-8.1737385,NV,train
180363-2,-21.45377,-8.097457,NV,train
181967,-30.245192,0.26556692,NV,train
182734,37.014828,7.673607,NV,train
183030,50.037647,1.8055373,IM,test
184128,8.076738,-5.6984386,IM,train
184217,51.752853,-3.6284282,IM,test
185519,23.961782,1.2397805,IM,train
185660,41.90269,-0.6971616,IM,train
185800,47.06639,-1.8648643,IM,test
186005,18.484522,-1.5149965,IM,train
186342,23.426346,0.42693397,IM,test
188206,19.517836,3.7325218,NIM,test
188650-1,-39.37256,0.12669821,NV,train
188650-2,-45.548958,-1.3823454,NV,train
189097,-12.63904,-10.195727,NIM,train
189819,-19.994295,4.1212754,NV,train
190309-1,-38.674744,-3.168618,NV,test
190309-2,-6.2658806,8.514625,NV,test
191136,-27.996113,5.5852914,NV,train
194119,-38.31983,-8.949225,NV,train
194367,-9.13712,-9.230938,NV,train
194467,47.824978,4.0412884,IM,train
194840,8.502398,7.942741,NIM,train
196148,53.03803,-3.3136303,IM,train
196757,-26.80865,6.9170575,NV,train
197170,-25.933065,-8.479384,NV,train
197688,26.013327,2.168033,IM,train
197778,-4.8654947,-7.3267026,IM,train
197923,-18.264784,3.5863395,NV,test
199254-1,17.159565,2.563402,NIM,test
199825,-35.44699,-5.6110187,NV,test
200427-1,-44.168976,-3.12361,NV,train
200427-2,-43.66768,-2.5161366,NV,train
201844,-10.640045,4.293536,NV,test
202408,-37.679527,-2.6836092,NV,train
203050,-14.771235,6.710358,IM,train
203829,52.575653,-0.34136853,IM,train
204877,-1.1378301,-4.5058346,IM,train
205260,51.70352,-2.0331795,IM,train
205329,-3.3775551,-3.6209164,IM,train
206605,-22.915981,1.5549647,NV,test
207358,-27.036,0.51581603,NV,test
207585,-32.998676,-16.595491,NV,train
208179,31.77933,0.60400164,IM,train
208220,-40.100094,0.2514946,NV,train
208358,-10.236581,6.9040923,IM,test
209320,2.7404768,5.5793443,IM,train
209649,37.256664,7.4451995,IM,train
210077-2,-20.632448,-2.7193325,NV,test
210827-1,-21.222551,8.786898,NV,train
210827-2,-21.090193,-8.3612585,NV,train
211306,-27.028763,-8.716035,NV,train
211533,-27.328053,-7.086561,NV,train
213658,40.513596,1.1362175,IM,train
214111,4.9640055,9.471515,NIM,train
216130-2,-31.439798,-0.70919895,NV,train
216573,-21.630133,7.48818,NV,test
216704,37.01245,-2.4066386,IM,train
217052,10.835681,6.1163945,NV,test
217072,19.56717,-0.6114021,IM,train
217797,1.94384,-0.398234,NIM,test
218196,-2.6568704,1.7745297,NIM,train
218917,-45.30387,-2.5777755,NV,train
219047,-12.583685,-10.760543,NIM,train
219297,-40.178665,-8.5665245,NV,train
219350,27.822495,-6.719426,IM,train
219514,-16.286835,9.836688,NV,test
220100,41.512993,-2.4012907,IM,train
220126,56.09225,-2.0947049,IM,train
222180,51.751488,-2.647299,IM,train
222814,-18.415459,-4.8480215,NIM,train
223015,-12.911979,1.3558248,NV,train
223060,-41.92052,-5.4775786,NV,test
223426,20.56204,7.8089743,NIM,train
224451,2.1030612,-4.6734686,IM,train
224832,-46.703575,-1.861769,NV,train
225497,21.103647,4.274378,NV,train
225718,-19.079073,-11.022605,NV,train
225837,-6.1210914,2.1274886,NV,test
226010,55.198006,1.6415647,IM,test
226880,5.6197896,8.10226,IM,train
227001,8.426436,6.2640986,IM,train
227088,51.75559,0.44061258,IM,train
227913,10.684994,5.4959865,NIM,train
227935,2.6518042,8.494077,IM,train
228537-1,-43.877728,-0.97901595,NV,test
230760,-21.68759,0.51522416,NV,train
230875,-10.840629,-7.8209114,NV,train
231618,41.4087,4.6002097,IM,train
231847,-33.35531,-16.117418,NV,train
232419-1,7.226948,-1.6586311,NIM,train
232419-2,11.853815,-2.6965973,IM,train
232516,34.74621,1.6430187,NIM,train
232569,-30.669807,3.9360564,NV,train
232645,30.383976,-2.5408986,IM,train
233464-2,0.16358349,9.937304,NIM,test
233551,15.301072,-1.039982,IM,train
234142,5.115531,0.29675454,IM,train
235357,-23.449488,-11.394893,NV,train
235405,42.287586,-3.0441592,IM,train
236447,2.1939292,0.4486494,NV,test
237476,54.835876,-0.7201447,IM,train
237952,-36.3361,-9.233883,NV,train
238717,-36.56379,-10.244183,NV,train
239067-1,-23.439552,-9.234641,NV,test
239100,-39.833775,-3.0498805,NV,train
242002,30.20975,3.7576795,IM,train
242605,-46.64615,-0.43115228,NV,test
244082,-12.716991,-10.047168,IM,train
244277,44.9559,-2.6519573,IM,test
244557,38.523365,1.9306043,IM,train
244748,15.626884,9.578352,IM,train
245195,-25.05438,-8.629178,NV,train
245863-1,-33.842907,-3.4214067,NV,test
247307,-18.980282,-3.5153382,IM,train
247394,-14.000197,-8.196654,IM,train
247614,54.113384,2.152273,IM,test
247963,-34.998974,4.875515,NV,train
249478,43.776184,-2.2276375,IM,test
250432,43.02801,-2.741461,IM,train
250459,43.225895,-0.6657991,IM,train
250982,52.953228,0.78364974,IM,train
251369,22.621483,-0.359751,NIM,train
252008,-1.003815,4.8643584,NV,train
252900,47.8928,-3.1518333,IM,train
254316,11.721689,8.841006,IM,train
254831-1,-31.450039,7.2931776,NV,train
254831-2,-41.551502,-7.9968915,NV,train
255314,-3.058996,3.6508157,NV,test
255604,48.488293,3.0792325,IM,train
256067,-27.95025,-11.194675,NV,train
257169,31.399239,-5.009399,IM,train
257371,-19.402025,2.3980994,NV,test
258245,-14.8617735,-10.222598,NV,train
258284,-28.07417,-9.702819,NV,train
258652,53.2944,-0.8582911,IM,train
259981-1,-13.626449,10.471835,NV,train
259981-2,-23.05196,-4.113961,NV,train
259985,17.51243,5.7321277,IM,train
260859,-34.22081,-4.8136797,NV,train
261235,4.112461,7.5377083,IM,train
262528,-29.384947,-11.4098425,NV,train
262811,-11.84437,-7.6247582,NV,train
263327-1,-31.671385,-9.49386,NV,train
263327-2,-30.152435,-9.365656,NV,train
263798,-32.989803,-16.584017,NV,train
266157-1,20.972223,-3.2071025,IM,train
266157-2,-18.68316,11.625519,NV,train
268733,-19.50909,-14.916286,NV,train
271360,12.032286,3.4007947,NIM,train
272393,-46.95471,0.75516504,NV,train
273694,45.599102,-1.786879,IM,train
273848,-0.60122395,8.460938,NV,train
274804,-17.997976,2.940433,NV,test
275786,-36.419006,-4.3947783,NV,train
275869,-23.891792,9.463826,NV,test
275916,56.212715,0.9416423,IM,test
276146,-6.180932,-7.926649,IM,train
276399,-13.376018,3.0120952,NV,test
277647,46.348206,4.4996114,IM,train
277718,-44.908154,-1.8455801,NV,train
278199-1,15.653051,9.596039,NV,train
278199-2,-29.448097,-7.1817217,NV,train
278485-1,-22.656628,3.0115395,NV,train
282956-1,-26.064589,0.7110988,NV,train
282956-2,-7.1665554,0.07919302,NV,train
283907,42.10237,-4.276514,IM,train
287773,-9.733207,-1.6022707,NIM,train
287913,22.325764,4.018358,IM,train
288003,-10.0513525,-8.786304,IM,train
288668,-15.935017,-3.9226487,NV,train
288963,-23.004509,-9.1690855,NV,train
289639,49.75202,-2.7163935,IM,train
289779,-20.829733,1.9790832,NV,test
289991,2.372615,11.711571,NIM,train
290289,-32.871502,4.3374867,NV,train
290503,-40.557487,-0.8935473,NV,test
290858-1,-11.2615385,3.635978,NV,test
291155,-30.275867,6.332481,NV,train
292050,13.00654,3.2354894,NIM,train
292498,14.737197,2.4906456,IM,train
293018,39.567387,-2.125146,IM,train
293101,21.069918,-5.702644,IM,train
293614,-11.760313,8.625377,NV,train
294413,45.141567,6.577812,IM,test
295330-1,-16.201914,-9.684955,NV,train
295330-2,-40.786156,-1.9152596,NV,train
295431,-15.418921,4.34098,NV,test
295743,-34.338806,0.41068786,NV,train
295851,44.775093,0.22036193,IM,train
296392,25.532642,-5.800729,IM,train
297981,-37.72232,3.5388327,NV,train
298503-2,-47.385685,-1.7598501,NV,train
298794-1,40.888466,4.877747,IM,train
298794-2,13.158818,9.856373,IM,train
298853,7.56735,-2.7965322,NV,train
300486,20.363575,1.5205956,IM,train
300962,-45.011326,0.9705944,NV,train
301329,-35.200375,-4.1327276,NV,train
302256,51.9528,0.90596586,IM,train
302567,-25.695358,-0.97190756,NV,train
302900,-36.70512,-3.3014014,NV,test
303141,48.134544,-3.9491298,IM,train
303511,25.889587,7.753547,NV,train
303962,16.897293,0.45636335,IM,train
304728-1,26.91727,1.5353144,NIM,train
305313,24.687992,0.647587,NIM,test
307820,-31.10853,6.3349156,NV,train
308940,-47.65455,-0.273757,NV,train
308957-1,-29.139147,-1.4112186,NV,train
308957-2,-28.87401,-1.1711469,NV,train
308974,-8.7449665,-7.4821014,NV,train
311160,32.96967,2.327084,NIM,train
311220,17.52576,4.7833257,NIM,test
312228,-12.212635,7.7587147,NV,train
313884,36.599846,1.0831174,IM,train
314706-1,-8.801921,6.4135222,NV,test
314706-2,-20.632732,6.193684,NIM,test
314821,-42.99828,-6.60216,NV,train
316730,13.9671545,-2.3758378,IM,train
317472,-17.64326,2.6378014,NV,test
319086,26.86195,-1.893063,IM,train
319616,-0.85962915,-0.35582396,IM,test
320641,-14.05841,0.72033685,NV,train
320913,26.63408,4.219994,IM,train
320914,-35.26663,-8.784247,NV,train
321657,29.373617,-2.5305164,IM,train
321818,7.0668983,8.324281,IM,train
322597,19.52087,6.7005033,NV,test
324033-2,-11.271002,9.028051,NV,test
324636,41.6376,-6.97308,IM,test
324753,41.529114,0.681747,IM,train
324761-1,-19.237667,-0.8705764,NV,test
324761-2,-19.580378,-1.4423217,NV,test
326938,1.3324103,-9.311131,NV,train
327313,-30.646894,-11.099695,NV,train
328993,1.7610432,2.8022535,NV,train
330358,21.72769,-3.09299,IM,train
331753-1,-15.200691,-7.589483,NV,train
331753-2,5.774944,7.3732343,NV,train
333072,17.159107,6.9822726,NV,train
333134,-20.555033,-1.8978616,NV,train
333697,-40.6479,-5.1257987,NV,train
334622,-37.284958,-7.6200376,NV,train
335301,16.456345,5.633178,IM,train
335663,-2.7781358,0.5402803,NV,train
335987-1,3.206653,-3.554032,IM,train
336057,-22.300867,4.5852237,NV,train
337110,-2.8411596,4.550761,NV,test
337890,-19.18799,-9.775582,NIM,train
338290,18.029549,2.5046577,NV,train
339351,-25.025156,0.7472081,NV,train
339449,-30.55663,-8.121624,NV,train
339611-1,-11.824508,-5.975918,NV,train
339611-2,-9.284148,-7.4445605,NV,train
340061,-18.426888,2.816665,NV,test
341033,40.28879,-3.146636,IM,train
341649,34.881306,4.297336,NV,test
343178,35.393654,-4.358527,IM,test
344058-2,1.4003133,6.111192,NIM,train
344572,23.13385,5.752401,NIM,test
345402,-28.889925,4.0478954,NV,test
347487,39.67043,4.9190397,IM,train
348357,-24.375885,-11.4565325,NV,train
349147,5.998667,0.7496265,NIM,train
349942,50.931698,1.5239071,IM,train
350659,-22.217577,-0.5978865,IM,train
351275,-45.901558,0.67868006,NV,train
352752,55.848698,-0.6054664,IM,train
353896,45.824387,6.5558696,IM,test
354521,7.777686,-1.2594538,NIM,train
354560,14.442336,-2.606672,IM,train
354764-2,-45.748333,-1.5426301,NV,train
355871,-24.564302,6.689897,NV,test
355991,43.5293,3.5416358,IM,train
356922,5.369838,-3.555595,NV,test
357423,-37.300213,4.2577143,NV,train
358300,1.5375787,-9.204932,NV,train
358404,-29.087112,-9.800893,NV,train
359456,-24.611704,8.194619,NV,test
360549,25.646784,8.044961,IM,train
361971,-25.492968,-8.743875,IM,train
363877,4.8666267,-2.7346778,NV,test
363920,-41.163715,3.1839542,NV,train
364997,-23.732298,10.227714,NV,test
366781,-15.901281,0.20741056,NV,test
367181,-37.24328,-7.5809784,NV,train
367891,21.558655,6.369381,NIM,test
368607,-29.547323,1.388179,NV,test
368694,-10.634476,-3.9346638,IM,test
370237-2,-30.364994,1.3029705,NV,test
370246,-39.600178,-8.117807,NV,train
371305,-34.79815,-2.4731755,NV,test
371410,5.306706,-1.0230522,NIM,test
373976,-7.5949235,6.5167522,NV,test
373987,-27.354656,-0.8508458,NV,train
376488,10.166984,3.417048,NIM,train
376547,-20.284784,5.354281,NV,train
377114,-14.143449,-1.4385035,NIM,train
377925,25.307468,2.4041932,IM,test
377942,20.026812,-1.173746,IM,test
379543,-5.626906,7.935346,NV,test
380030,-48.88383,-0.41597125,NV,train
383544,-21.960003,-10.546059,IM,train
384393,-31.91905,-8.379438,NV,train
384837,-12.404874,5.6719246,NV,test
387164,24.869987,4.438057,NV,test
387998,-13.443412,-3.4954863,NV,train
388600,7.6775966,-5.037248,IM,test
389344,-7.1950793,-8.066472,IM,train
391629,-24.141272,4.80137,NV,test
397249,-37.08071,6.8705764,NV,train
397503,-16.068254,-5.247318,IM,train
398342-1,38.94494,-3.9079084,IM,train
398342-2,-19.568304,-13.547595,NV,train
398516,-48.61906,-1.8129936,NV,train
399455,-30.49981,2.6035683,NV,test
399625,7.512472,6.593979,IM,train
400143-1,-3.5775135,-5.2800717,NV,test
401671,-17.711096,-3.73289,NV,train
401945-1,26.759743,2.150209,IM,train
401945-2,-27.113787,2.0367548,NV,train
402631,42.384335,-1.8079128,IM,train
404049,8.371517,4.480457,NIM,train
405610,-18.13049,-9.884491,NV,train
405904,31.631184,-0.81736535,IM,test
408057,-10.79316,2.7242334,IM,train
408086,44.206043,2.483398,IM,train
409153,-36.11681,0.22192217,NV,train
409157,-43.28896,-4.5813236,NV,train
409343,-18.878061,6.0896325,NV,test
409386-2,-9.650665,5.1140413,NV,train
410128,4.635398,3.9605482,NV,train
411146-2,41.264492,2.8835402,IM,train
411147,9.301807,-0.31737685,IM,train
413514,-5.035101,-4.438866,NV,train
414496-2,-13.792185,0.24946077,NV,train
414690,-10.93762,2.996721,NV,train
415543,-32.3436,0.7136837,NIM,train
415813,31.568352,5.7660875,IM,train
417979,27.366844,7.306352,NV,train
419114,-18.323551,11.362265,NV,test
419318-2,-24.769022,-6.162865,NV,test
420206-2,-20.925198,-1.405802,NV,train
421369,5.6615324,3.474652,NIM,train
421431,-40.499794,-5.508555,NV,test
423439,-35.441082,-8.009995,NV,test
425051-2,-28.310253,-6.1904707,NV,train
425593-1,-13.312901,4.07832,NV,train
425593-2,-31.305681,-4.313589,NV,train
426444,-17.421507,-1.2917361,NV,test
426557-2,-6.322326,-4.8717713,NV,train
428519,-36.234116,3.5151644,NV,train
428772,-36.039883,-2.6478348,NV,train
430002,21.750246,8.851887,NV,test
430366-2,-38.9046,-5.836959,NV,train
430532,-37.794903,-1.4215388,NV,train
433603,22.019814,-7.322824,IM,train
433622,-22.210064,-10.161345,NV,train
433623,-17.120775,3.471825,NV,test
436412-1,9.991296,4.339778,NIM,train
437272,-21.389992,-3.4989307,NV,train
438430-1,-10.034461,3.7150397,NV,test
438430-2,-28.303802,0.86683106,NV,test
439727,17.299713,6.6695733,NV,train
440627,37.9776,-1.9830011,IM,train
440663,-25.699942,-4.2290974,NV,test
440783,-14.917402,-12.749605,NIM,train
441134-1,-14.847013,8.404719,NV,test
441134-2,-29.074327,1.4842225,NV,test
441535,35.600662,2.013471,IM,train
441740,-38.728886,0.12381371,NV,train
442469,21.218973,3.4033844,NIM,train
443049-1,-30.960735,-7.73161,NV,test
443049-2,-47.009773,-2.890053,NV,test
444755,-26.676716,3.7939646,NV,test
445174,48.82335,-5.0811596,IM,train
445907,-19.753502,-5.326802,NV,test
446325,-29.971043,-10.7406845,NV,train
446556,-20.613749,-1.0662154,NV,train
446780-1,-14.2153,4.5383034,NV,train
446780-2,-14.825103,4.663496,NV,train
447044,43.562,2.0006278,IM,train
447171-1,-31.040459,0.37229088,NV,test
447171-2,-31.719778,0.8803502,NV,test
447994,34.627556,2.7221308,NV,train
451663,-37.747597,0.34166932,NV,test
452949,49.07336,3.5690885,IM,train
453340,-2.0600467,0.53667283,NV,test
453418,-42.59352,-5.5710287,NV,train
453830,-17.890762,-8.617351,NV,train
453916,-34.253532,6.956998,NV,test
453926,2.8770885,-9.678272,NV,train
454218,-17.625668,10.032504,IM,test
454961,25.960608,5.86362,NV,train
455145-1,21.162148,-1.194823,IM,train
455145-2,17.461718,1.7078502,IM,train
455155,23.877901,4.1166725,NV,test
456371,7.361286,-3.2065763,NV,train
456459,50.34534,3.9645016,IM,train
456805,-8.149931,3.5073755,NV,train
457347-1,-5.219071,-3.8015697,NV,train
457347-2,-27.196598,-8.147344,NV,train
458178,-36.11786,-1.964673,NV,train
458367,-35.773937,-3.755857,NV,test
458419,-21.210674,-2.4350798,NV,train
459377,3.647276,5.181075,NV,train
460673,29.211962,0.9227523,NV,test
461516,-15.665169,3.4571052,NV,train
461653,-24.950933,5.757636,NV,test
464946,-17.709963,-10.931925,NV,test
465984,-24.429405,-2.6137736,NV,train
465986-1,-22.314579,-1.8166121,NV,train
465986-2,-17.127844,5.6981,NV,train
466480,6.2966075,-4.0031514,IM,test
467518,-16.504808,4.354904,NV,train
468162-2,9.477098,-3.7595832,IM,train
468759-1,-19.111841,-8.674635,NV,test
468759-2,6.0333815,8.837,NV,test
469327,29.764193,4.937198,NIM,train
471169,-48.22339,-3.3807113,NV,train
471275,-13.766172,2.142403,NV,test
471661,-19.644304,-13.3191595,NV,train
471776,38.909576,0.64404434,IM,train
472815,36.459656,-1.8498282,IM,train
473038,-9.56261,1.6194812,NV,train
473099,-19.969975,-2.0784519,NV,test
473661,-19.270405,1.656355,NV,train
473786-1,-27.053072,-2.9537523,NV,train
473786-2,20.613455,6.1821613,NV,train
474532,3.6655865,3.1745129,NIM,train
474571,-26.038979,-11.052542,NV,train
475184,11.360484,4.592918,NIM,test
476490,-29.60116,1.928884,NV,test
476790-1,-45.785816,-4.6236362,NV,train
476790-2,-26.815296,-10.057069,NV,train
478243,-46.002583,-2.0071285,NV,test
478728,14.642831,0.44614616,NV,test
479037,31.62458,-0.82184976,IM,test
481121,41.643887,2.1067774,IM,train
482141-1,28.788843,2.8245573,IM,train
482141-2,5.714777,5.7640905,IM,train
482540,-47.48674,-0.32882503,NV,train
482629-1,-33.193672,-16.178114,NV,train
482629-2,-20.197832,4.55942,NV,train
483476,8.661879,9.55465,NV,train
486138-2,-21.018354,-10.118923,IM,train
486741,-12.196964,4.89719,NV,train
487005,-31.918892,-12.277851,NV,test
487457,22.987831,-4.47064,IM,train
488135,1.8900692,10.84979,NIM,train
489663-1,-20.89109,-0.02028177,NV,train
490281-1,-21.865479,6.496022,NV,train
490281-2,-9.486075,3.6058903,NV,train
490427,-40.533897,-0.6634712,NV,train
491058,16.879675,7.8242993,NV,train
491345,34.282394,-2.7288976,IM,train
492120,38.221085,-6.729252,IM,train
492599,-0.15528502,2.6687522,NV,train
492839-2,-30.658617,-4.6043983,NV,train
493750,11.647421,8.446849,IM,train
493867,33.30304,4.340545,IM,train
494111,-9.799568,4.5668035,NV,train
494581,-2.8970327,2.247754,NIM,train
495972-1,-11.849809,2.9270632,NV,train
495972-2,-26.78625,2.1802013,NV,train
496735,12.66582,9.574211,NIM,train
496751-1,41.252895,-0.99560124,IM,train
498990,-39.04782,4.265004,NV,train
499198-1,-46.161877,-4.422662,NV,train
499198-2,-28.813253,-8.331369,NV,train
499308,31.200106,3.710653,IM,train
499991,-35.737724,-8.671053,NV,train
501441-1,42.452126,0.0007618672,IM,train
501443,13.980792,4.8106117,IM,train
502377,41.552723,4.0094714,NIM,test
503492,19.6439,0.5282774,NIM,train
503525,-25.431694,-7.84212,NV,test
503807,2.1383615,11.43817,NIM,train
504265,28.661345,-0.9733694,IM,test
506223,-9.7606325,1.5739377,NV,train
506755,11.472048,2.4243295,IM,train
508335,0.6489004,1.7670454,NV,test
509553-1,-18.588749,8.927627,NV,test
509553-2,2.7962828,-9.682195,NV,test
510219,-31.523567,-0.6448789,IM,train
511310,38.73931,-1.0823519,IM,test
511591,30.067348,-0.14756761,IM,test
511860,23.571543,4.620617,NIM,train
512175,-5.733944,1.5423082,NV,test
513005,43.146885,-3.5896811,IM,test
513942,-6.9473414,7.232782,IM,test
514193,25.480658,0.25652698,NIM,train
515966,40.380604,1.1905652,IM,train
520390,13.198519,-0.020383373,NIM,train
520679,-3.9334366,-4.791263,NV,train
521092-2,27.666212,2.131624,NIM,train
521208,29.802422,0.42544115,IM,test
521834,-37.489735,-5.6709995,NV,train
521912,50.97497,-0.83461595,IM,train
