slideId,dim1,dim2,group,split
101230,-0.29848728,1.5335159,IA,train
101292,23.813332,-2.913506,IIB/C,train
101543,21.999456,-3.0667732,III,train
103741,-18.054888,-3.333352,IA,train
103818,-19.137115,-3.4866743,IA,train
103870,-28.830767,-1.4034984,0,train
104651,7.726326,0.4985306,IIA,train
106914,0.07830959,-0.33296344,IB,train
107862,15.221061,5.7659655,III,test
108136,12.927602,-2.162835,III,train
108557,-0.75247234,5.8545685,0,train
109042-2,-20.213799,0.49153706,0,train
109070,24.833475,2.9838045,IIA,test
112284,-21.481085,-4.74062,0,train
113308,-6.0049424,-0.57774085,0,train
114434,-10.350868,-1.2754679,IA,train
115670,16.00053,1.4742681,IA,train
115686,25.667143,-0.6026426,IIB/C,train
117956-2,-12.570671,5.7466183,0,train
119659,9.854029,3.3797348,IB,train
121285,15.779394,0.5793539,IB,train
121495-1,-6.4094486,0.27040502,0,train
121495-2,24.152636,2.6441135,IB,train
122032,19.268307,0.80323815,IIB/C,test
122547,0.87219816,3.2311757,IA,train
124768-1,-12.264457,-4.1232004,0,train
124768-2,-12.613487,-4.06232,0,train
125801,26.727802,-1.4673743,III,test
125853,-20.513819,-2.9442341,IA,train
126304,24.074327,3.7037938,III,train
127505,-15.384715,1.9367934,0,train
127678,-15.855557,-5.814636,IA,train
130113,3.9230964,4.722092,IA,train
130714,-11.138026,-3.587921,IA,train
131477,-21.924183,0.059107922,0,train
133804,-6.8618264,1.3345684,IA,train
135304,22.439997,2.8336005,IIB/C,train
136919,-23.121725,-2.2707722,IA,train
140682,4.724859,5.2648287,IA,train
142905,-28.841103,-2.4715629,IA,train
143742,23.703402,0.47522116,IIB/C,train
145604,4.940241,4.9857516,IB,train
145619,9.272979,0.99956626,IA,train
146350,-15.307128,1.7310185,IB,train
148034,-10.572992,3.9173646,IB,test
151962,8.528863,7.082271,IB,train
154396,23.92979,-0.8017626,IIA,train
155171,5.8642483,5.9059935,IIB/C,train
157270,-24.57112,-3.6188226,IA,train
157458,22.181715,3.832168,III,test
158283,-16.247204,3.0054774,IA,train
159603,0.06459412,0.71665394,IA,train
161831,-3.0293171,1.8981838,IA,train
162764,-27.440435,0.74954885,0,train
163476,-5.0109935,2.22912,IA,test
164077,-7.4177547,-0.9902253,IA,train
170656,-3.7985325,0.5640923,0,train
171489,2.3774476,1.2536225,IA,train
173685,3.0475512,7.8412046,IA,train
175669,-15.136953,1.8590347,0,train
176086,17.521599,2.1738653,IB,train
177224,-17.173439,1.0932672,IA,train
177931,-14.810576,0.45734152,IA,train
178340,4.3031983,0.4015388,IA,train
183030,21.046982,3.0110855,III,test
184128,-7.718224,5.483863,IA,train
184217,24.524303,-1.9496875,III,test
185519,0.8665881,-1.4758174,IB,train
185660,14.662586,-1.0535431,IB,train
185800,18.996399,-1.1490477,IIB/C,test
186342,0.8244953,-2.294286,IA,test
188206,-4.5984454,2.8794563,0,test
189097,-26.13428,-2.3635535,0,train
194840,-15.627024,-6.658839,0,train
196148,23.603653,-1.3423799,III,train
197688,0.7322571,2.1872776,IB,train
197778,-20.5873,-4.4541373,IB,train
199254-1,-6.6475024,-3.0223334,0,test
203050,-24.662798,0.54538155,IA,train
203829,23.930403,1.373538,III,train
204877,-18.518787,1.237483,IIB/C,train
205329,-19.654102,-2.2983084,IA,train
208179,6.5364633,2.8303268,IA,train
209320,-19.071272,-5.9924507,IA,train
209649,10.330271,9.497201,IIB/C,train
213658,12.854954,0.49716532,IA,train
214111,-17.89986,-6.450314,0,train
217072,-2.9769993,-4.691659,IA,train
