GO_ID,ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
GO:0006357,BP,regulation of transcription by RNA polymerase II,2338,54,7.39582690380847e-05,0.142275539192265,"IKZF1,PCGF3,RAI1,FOXN3,POU6F2,OSR1,PWWP2B,ESRRG,TFEC,SBNO2,MYT1L,FOXD2,OTP,ALX3,AUTS2,GATA3,LHX6,GFI1,AGO2,TOX3,MAMSTR,BRD7,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,LEP,LHX8,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PRKN,PAX6,SIX4,PITX2,PPARD,PPP3CA,MAML3,SINHCAF,ZNF704,SHOX2,SMARCA4,SPI1,TCF4,RFX8,ZIC1,MAML2,RUNX2,RUNX3,IL33,NFE2L3"
GO:0001501,BP,skeletal system development,326,16,9.83398814530386e-05,0.149228093240431,"COL5A1,COL9A2,COL11A1,OSR1,SULF1,MTHFD1L,GATA3,HOXD13,LEP,NFIA,PITX2,KIAA1217,PTGER4,SHOX2,RUNX2,RUNX3"
GO:0048731,BP,system development,3270,77,9.87284771686611e-05,0.149228093240431,"SMC4,BAIAP2,SEMA6C,RGS14,DUSP10,POU6F2,COL5A1,COL9A2,COL11A1,OSR1,UNC5D,CRYGD,CTNND2,DACT2,DLG2,ELN,PHACTR1,SDK1,NYAP1,MYT1L,SULF1,OTP,FPR2,PLXNB2,ALX3,MTHFD1L,CNTNAP2,AUTS2,GATA3,LHX6,GFI1,AGO2,HOXA10,HOXD13,KCNC2,LEP,MIR15B,MAL,MBP,LHX8,NFIA,NKX2-2,MIR375,OPCML,SIX6,PRKN,PAX6,HPCAL4,DCDC2,SIX4,PITX2,PPARD,RBFOX1,ESRP1,PPP3CA,KIAA1217,PTGER4,PTK7,PTPRG,SHOX2,SLC8A1,SLC8A3,SMARCA4,TCF4,TIAM1,TNFAIP2,TNXB,ZIC1,MALL,GREB1L,CRISPLD2,RUNX2,RUNX3,AKR1C3,PROM1,IL33,BOC,ELMO1,MAGI2"
GO:0072172,BP,mesonephric tubule formation,7,3,0.000107211027227559,0.150944647599818,"OSR1,GATA3,SIX4"
GO:0006366,BP,transcription by RNA polymerase II,2457,55,0.000114130445706587,0.150944647599818,"IKZF1,PCGF3,RAI1,FOXN3,POU6F2,OSR1,PWWP2B,ESRRG,TFEC,SBNO2,MYT1L,FOXD2,OTP,ALX3,AUTS2,GATA3,LHX6,GFI1,AGO2,TOX3,MAMSTR,BRD7,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,LEP,LHX8,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PRKN,PAX6,SIX4,PITX2,PPARD,PPP3CA,MAML3,SINHCAF,ZNF704,SHOX2,SMARCA4,SPI1,TCF4,RFX8,ZIC1,MAML2,RUNX2,RUNX3,IL33,NFE2L3,SART3"
GO:0032501,BP,multicellular organismal process,6306,114,0.000156777722610336,0.167181528327513,"SMC4,IKZF1,BAIAP2,SEMA6C,RGS14,DUSP10,POU6F2,C1QTNF4,COL5A1,COL9A2,COL11A1,OSR1,UNC5D,CRYGD,C2CD4A,CTNND2,FREM3,DACT2,PWWP2B,DLG2,NLRP7,ELN,ESRRG,PHACTR1,SDK1,NYAP1,SBNO2,MYT1L,SULF1,OTP,FPR2,LY96,PLXNB2,ALX3,MTHFD1L,CNTNAP2,AUTS2,GATA3,LHX6,GFI1,HAVCR1,AGO2,AHDC1,METRNL,BRD7,HOXA6,HOXA10,HOXD13,IL11RA,KCNC2,LEP,LIPC,MIR15B,MAL,MBP,LHX8,ZFHX3,NFIA,NKX2-2,MIR375,OPCML,SIX6,PRKN,PAX6,HPCAL4,DCDC2,SIX4,PITX2,TSPEAR,RBM47,PPARD,CNGB3,RBFOX1,ESRP1,PPL,MCUB,PPP3CA,PRKAR1B,CACNA2D3,PRKCE,KIAA1217,JPH1,PTGER4,PTK7,PTPRG,SINHCAF,SIGIRR,SELENOW,SHOX2,RASAL3,SLC8A1,SLC8A3,SMARCA4,SPI1,TCF4,TIAM1,TNNC2,TNFAIP2,TNXB,NALF1,ZIC1,MALL,RIOX1,GREB1L,OPA3,CRISPLD2,SGIP1,CASR,RUNX2,RUNX3,AKR1C3,PROM1,IL33,BOC,ABCG1,ELMO1,MAGI2"
GO:0007275,BP,multicellular organism development,3787,84,0.000158009100068534,0.167181528327513,"SMC4,BAIAP2,SEMA6C,RGS14,DUSP10,POU6F2,COL5A1,COL9A2,COL11A1,OSR1,UNC5D,CRYGD,CTNND2,DACT2,DLG2,NLRP7,ELN,PHACTR1,SDK1,NYAP1,MYT1L,SULF1,OTP,FPR2,PLXNB2,ALX3,MTHFD1L,CNTNAP2,AUTS2,GATA3,LHX6,GFI1,AGO2,AHDC1,BRD7,HOXA6,HOXA10,HOXD13,IL11RA,KCNC2,LEP,MIR15B,MAL,MBP,LHX8,NFIA,NKX2-2,MIR375,OPCML,SIX6,PRKN,PAX6,HPCAL4,DCDC2,SIX4,PITX2,PPARD,RBFOX1,ESRP1,PPP3CA,KIAA1217,PTGER4,PTK7,PTPRG,SHOX2,SLC8A1,SLC8A3,SMARCA4,SPI1,TCF4,TIAM1,TNFAIP2,TNXB,ZIC1,MALL,GREB1L,CRISPLD2,CASR,RUNX2,RUNX3,AKR1C3,PROM1,IL33,BOC,ELMO1,MAGI2"
GO:0007399,BP,nervous system development,2083,56,0.000279875182361853,0.257497336259094,"SMC4,BAIAP2,SEMA6C,RGS14,DUSP10,POU6F2,UNC5D,CTNND2,DLG2,PHACTR1,SDK1,NYAP1,MYT1L,SULF1,OTP,FPR2,PLXNB2,ALX3,MTHFD1L,CNTNAP2,AUTS2,GATA3,LHX6,GFI1,AGO2,KCNC2,MAL,MBP,LHX8,NKX2-2,OPCML,PRKN,PAX6,HPCAL4,DCDC2,SIX4,PITX2,PPARD,RBFOX1,ESRP1,PTK7,PTPRG,SHOX2,SLC8A3,SMARCA4,TCF4,TIAM1,TNXB,ZIC1,MALL,RUNX2,RUNX3,PROM1,IL33,BOC,ELMO1,MAGI2"
GO:0045944,BP,positive regulation of transcription by RNA polymerase II,1116,32,0.000445589232999804,0.377164550380354,"OSR1,PWWP2B,ESRRG,TFEC,SBNO2,MYT1L,FOXD2,AUTS2,GATA3,AGO2,TOX3,ONECUT1,HOXA10,HOXD13,ZFHX3,NFIA,NFIX,NKX2-2,PRKN,PAX6,SIX4,PITX2,PPARD,PPP3CA,MAML3,SMARCA4,SPI1,TCF4,ZIC1,MAML2,RUNX2,IL33"
GO:0072182,BP,regulation of nephron tubule epithelial cell differentiation,9,3,0.000631837113907986,0.495196487681737,"OSR1,GATA3,PROM1"
