GO_ID,ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
GO:0004982,MF,N-formyl peptide receptor activity,4,2,1.31457094606748e-05,0.27817635789734,"FPR2,FPR3"
GO:0004875,MF,complement receptor activity,11,2,0.000218836871964726,1,"FPR2,FPR3"
GO:0043650,BP,dicarboxylic acid biosynthetic process,13,2,0.000542933684204411,1,"HAAO,MTHFD1L"
GO:0002430,BP,complement receptor mediated signaling pathway,16,2,0.000809967339037563,1,"FPR2,FPR3"
GO:0036150,BP,phosphatidylserine acyl-chain remodeling,9,2,0.00082965229937707,1,"OSBPL5,OSBPL10"
GO:0140343,MF,phosphatidylserine transfer activity,6,2,0.000870527035470567,1,"OSBPL5,OSBPL10"
GO:0160270,MF,phosphatidylserine-phosphatidylinositol-4-phosphate exchange activity,6,2,0.000870527035470567,1,"OSBPL5,OSBPL10"
GO:7770011,MF,lipid exchange activity,7,2,0.000944764488516458,1,"OSBPL5,OSBPL10"
GO:0000334,MF,"3-hydroxyanthranilate 3,4-dioxygenase activity",1,1,0.00119847269658241,1,HAAO
GO:0071298,BP,cellular response to L-ascorbic acid,1,1,0.00149235591207324,1,LEP
GO:1904651,BP,positive regulation of fat cell apoptotic process,1,1,0.00149235591207324,1,LEP
GO:1990051,BP,activation of protein kinase C activity,1,1,0.00149235591207324,1,LEP
GO:2000486,BP,negative regulation of glutamine transport,1,1,0.00149235591207324,1,LEP
GO:0005795,CC,Golgi stack,129,4,0.00162904856045333,1,"SULF1,GALNT2,GALNT3,MBTPS1"
GO:0001786,MF,phosphatidylserine binding,58,3,0.0018165455599619,1,"OSBPL5,OSBPL10,CAVIN2"
GO:2000485,BP,regulation of glutamine transport,2,1,0.00285425549895948,1,LEP
GO:0034442,BP,regulation of lipoprotein oxidation,2,1,0.00301162654603713,1,LEP
GO:0060587,BP,regulation of lipoprotein lipid oxidation,2,1,0.00301162654603713,1,LEP
GO:1904606,BP,fat cell apoptotic process,2,1,0.00304608235361868,1,LEP
GO:1904649,BP,regulation of fat cell apoptotic process,2,1,0.00304608235361868,1,LEP
GO:0021675,BP,nerve development,58,3,0.00336618131680247,1,"SLC24A4,SULF1,NRP2"
GO:0042983,BP,amyloid precursor protein biosynthetic process,24,2,0.00372002224932196,1,"AGO2,NECAB1"
GO:0042984,BP,regulation of amyloid precursor protein biosynthetic process,24,2,0.00372002224932196,1,"AGO2,NECAB1"
GO:0072341,MF,modified amino acid binding,85,3,0.00380590881179179,1,"OSBPL5,OSBPL10,CAVIN2"
GO:0033686,BP,positive regulation of luteinizing hormone secretion,3,1,0.00389499313346748,1,LEP
GO:0090335,BP,regulation of brown fat cell differentiation,25,2,0.0040971210852627,1,"METRNL,LEP"
GO:0098791,CC,Golgi apparatus subcompartment,373,6,0.00422277852303301,1,"OSBPL10,SULF1,GALNT2,GALNT3,RGS20,MBTPS1"
GO:0006658,BP,phosphatidylserine metabolic process,22,2,0.00438885364986155,1,"OSBPL5,OSBPL10"
GO:0034439,BP,lipoprotein lipid oxidation,3,1,0.00474734031286744,1,LEP
GO:0042160,BP,lipoprotein modification,3,1,0.00474734031286744,1,LEP
GO:0042161,BP,lipoprotein oxidation,3,1,0.00474734031286744,1,LEP
GO:0051896,BP,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,262,5,0.00497748981665101,1,"FPR2,IGF1R,LEP,MIR375,MAGI2"
GO:0043420,BP,anthranilate metabolic process,3,1,0.00515767957431056,1,HAAO
GO:0006667,BP,sphinganine metabolic process,1,1,0.00524011065343201,1,DEGS2
GO:0102772,MF,sphingolipid C4-monooxygenase activity,1,1,0.00524011065343201,1,DEGS2
GO:0051427,MF,hormone receptor binding,32,2,0.00542388182894606,1,"LEP,SOCS2"
GO:0007169,BP,cell surface receptor protein tyrosine kinase signaling pathway,586,8,0.00582345274442797,1,"SULF1,GALNT3,IGF1R,LEP,PTPRG,NRP2,SOCS2,GPRC5A"
GO:0005124,MF,scavenger receptor binding,4,1,0.00593069195736598,1,FPR2
GO:0008526,MF,phosphatidylinositol transfer activity,18,2,0.00607806327290135,1,"OSBPL5,OSBPL10"
GO:0042284,MF,sphingolipid delta-4 desaturase activity,2,1,0.0064660370979414,1,DEGS2
GO:0004653,MF,polypeptide N-acetylgalactosaminyltransferase activity,19,2,0.00682911044939024,1,"GALNT2,GALNT3"
GO:0046880,BP,regulation of follicle-stimulating hormone secretion,4,1,0.00688095339648308,1,LEP
GO:0046881,BP,positive regulation of follicle-stimulating hormone secretion,4,1,0.00688095339648308,1,LEP
GO:0097187,BP,dentinogenesis,5,1,0.00698335503713144,1,FPR2
GO:0038108,BP,negative regulation of appetite by leptin-mediated signaling pathway,4,1,0.00720698731939433,1,LEP
GO:0007095,BP,mitotic G2 DNA damage checkpoint signaling,31,2,0.00791101820768145,1,"FOXN3,MBTPS1"
GO:0060513,BP,prostatic bud formation,1,1,0.00801782299554366,1,SULF1
GO:0060685,BP,regulation of prostatic bud formation,1,1,0.00801782299554366,1,SULF1
GO:0060686,BP,negative regulation of prostatic bud formation,1,1,0.00801782299554366,1,SULF1
GO:0043491,BP,phosphatidylinositol 3-kinase/protein kinase B signal transduction,289,5,0.00809831029690439,1,"FPR2,IGF1R,LEP,MIR375,MAGI2"
GO:0008343,BP,adult feeding behavior,6,1,0.00829503766100505,1,LEP
GO:0019805,BP,quinolinate biosynthetic process,5,1,0.00831271381234898,1,HAAO
GO:2000562,BP,"negative regulation of CD4-positive, alpha-beta T cell proliferation",6,1,0.00858137504213058,1,TARM1
GO:0005001,MF,transmembrane receptor protein tyrosine phosphatase activity,17,2,0.00863038150020925,1,"PTPRG,PTPRN2"
GO:0019198,MF,transmembrane receptor protein phosphatase activity,17,2,0.00863038150020925,1,"PTPRG,PTPRN2"
GO:0033684,BP,regulation of luteinizing hormone secretion,6,1,0.0086935728701103,1,LEP
GO:1990460,MF,leptin receptor binding,4,1,0.00914369812236507,1,LEP
GO:0006114,BP,glycerol biosynthetic process,5,1,0.0093934514136261,1,LEP
GO:0019401,BP,alditol biosynthetic process,5,1,0.0093934514136261,1,LEP
GO:0046874,BP,quinolinate metabolic process,6,1,0.00963244040678158,1,HAAO
GO:0060688,BP,regulation of morphogenesis of a branching structure,35,2,0.00968363979162873,1,"SULF1,SHOX2"
GO:0008269,MF,JAK pathway signal transduction adaptor activity,3,1,0.00997363400415188,1,SOCS2
GO:0060400,BP,negative regulation of growth hormone receptor signaling pathway,4,1,0.0104461135194099,1,SOCS2
GO:0050873,BP,brown fat cell differentiation,37,2,0.0106139895431986,1,"METRNL,LEP"
GO:0046884,BP,follicle-stimulating hormone secretion,5,1,0.0106593504544957,1,LEP
GO:0042475,BP,odontogenesis of dentin-containing tooth,39,2,0.0114543675686546,1,"SLC24A4,FPR2"
GO:0009100,BP,glycoprotein metabolic process,354,5,0.0114867055032177,1,"SULF1,GALNT2,GALNT3,AGO2,NECAB1"
GO:0070820,CC,tertiary granule,157,3,0.011942157676754,1,"FPR2,TARM1,PTPRN2"
GO:0035598,MF,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase activity,1,1,0.0119721029928476,1,CDKAL1
GO:0070551,MF,"endoribonuclease activity, cleaving siRNA-paired mRNA",1,1,0.0119833063720375,1,AGO2
GO:0090625,BP,siRNA-mediated gene silencing by mRNA destabilization,1,1,0.0119833063720375,1,AGO2
GO:0140766,BP,siRNA-mediated post-transcriptional gene silencing,1,1,0.0119833063720375,1,AGO2
GO:0036368,BP,cone photoresponse recovery,2,1,0.0121379176417419,1,SLC24A4
GO:0071484,BP,cellular response to light intensity,2,1,0.0121379176417419,1,SLC24A4
GO:0071486,BP,cellular response to high light intensity,2,1,0.0121379176417419,1,SLC24A4
GO:0002528,BP,regulation of vascular permeability involved in acute inflammatory response,3,1,0.0125474677266847,1,C2CD4A
GO:0010559,BP,regulation of glycoprotein biosynthetic process,46,2,0.0130711510857665,1,"AGO2,NECAB1"
GO:0120014,MF,phospholipid transfer activity,40,2,0.0131487264607711,1,"OSBPL5,OSBPL10"
GO:0009644,BP,response to high light intensity,3,1,0.0133856559061649,1,SLC24A4
GO:0035596,MF,methylthiotransferase activity,2,1,0.0135535539375791,1,CDKAL1
GO:0035600,BP,tRNA methylthiolation,2,1,0.0135535539375791,1,CDKAL1
GO:0050497,MF,alkylthioltransferase activity,2,1,0.0135535539375791,1,CDKAL1
GO:0070093,BP,negative regulation of glucagon secretion,4,1,0.0135997933423279,1,LEP
GO:0001542,BP,ovulation from ovarian follicle,4,1,0.0136914393329089,1,LEP
GO:0004329,MF,formate-tetrahydrofolate ligase activity,2,1,0.0138222600424245,1,MTHFD1L
GO:0009257,BP,10-formyltetrahydrofolate biosynthetic process,2,1,0.0138222600424245,1,MTHFD1L
GO:0033591,BP,response to L-ascorbic acid,5,1,0.0138854361661149,1,LEP
GO:0070699,MF,type II activin receptor binding,2,1,0.013901661773853,1,MAGI2
GO:0090624,MF,"endoribonuclease activity, cleaving miRNA-paired mRNA",2,1,0.0139607482517177,1,AGO2
GO:0032275,BP,luteinizing hormone secretion,8,1,0.0140881492670618,1,LEP
GO:1901135,BP,carbohydrate derivative metabolic process,923,8,0.0144320013261545,1,"LRGUK,GIMAP7,SULF1,GALNT2,GALNT3,AGO2,PDE4B,NECAB1"
GO:0015943,BP,formate biosynthetic process,3,1,0.0144709182008793,1,MTHFD1L
GO:0006575,BP,modified amino acid metabolic process,158,3,0.0144986610401913,1,"OSBPL5,OSBPL10,MTHFD1L"
GO:0044818,BP,mitotic G2/M transition checkpoint,51,2,0.0145455383333038,1,"FOXN3,MBTPS1"
GO:0008376,MF,acetylgalactosaminyltransferase activity,34,2,0.0148488122310658,1,"GALNT2,GALNT3"
GO:0048702,BP,embryonic neurocranium morphogenesis,3,1,0.0152484522579331,1,MTHFD1L
GO:1903018,BP,regulation of glycoprotein metabolic process,52,2,0.0153704266699336,1,"AGO2,NECAB1"
GO:0048743,BP,positive regulation of skeletal muscle fiber development,7,1,0.0154750456998232,1,SHOX2
GO:0021545,BP,cranial nerve development,39,2,0.0154751670236118,1,"SLC24A4,NRP2"
GO:1990680,BP,response to melanocyte-stimulating hormone,3,1,0.0155632248201321,1,SLC24A4
GO:0015942,BP,formate metabolic process,4,1,0.015648335807676,1,MTHFD1L
GO:0006569,BP,L-tryptophan catabolic process,9,1,0.0160625086500463,1,HAAO
GO:0101003,CC,ficolin-1-rich granule membrane,58,2,0.0161636604710725,1,"FPR2,PTPRN2"
GO:0003172,BP,sinoatrial valve development,2,1,0.0165828160340226,1,SHOX2
GO:0060931,BP,sinoatrial node cell development,4,1,0.0166240135582246,1,SHOX2
GO:0006066,BP,alcohol metabolic process,321,4,0.016695846409655,1,"OSBPL5,DEGS2,ITPK1,LEP,MBTPS1"
GO:0003213,BP,cardiac right atrium morphogenesis,2,1,0.0167535352619713,1,SHOX2
GO:0120009,BP,intermembrane lipid transfer,50,2,0.0169645337853794,1,"OSBPL5,OSBPL10"
GO:0016266,BP,protein O-linked glycosylation via N-acetyl-galactosamine,38,2,0.017529122935745,1,"GALNT2,GALNT3"
GO:1904646,BP,cellular response to amyloid-beta,44,2,0.0179183686466785,1,"FPR2,IGF1R"
GO:0004488,MF,methylenetetrahydrofolate dehydrogenase (NADP+) activity,4,1,0.0179436369884197,1,MTHFD1L
GO:0071326,BP,cellular response to monosaccharide stimulus,133,3,0.0182818036115184,1,"IGF1R,LEP,PTPRN2"
GO:0060921,BP,sinoatrial node cell differentiation,5,1,0.01829814557891,1,SHOX2
