,,Training set (hospitals 1-7),,,,Test set (hospital 8),,,
Category,Subcategory,"Overall
n=814","IM
n=302","NIM
n=101","NV
n=411","Overall
n=187","IM
n=47","NIM
n=16","NV
n=124"
Age at diagnosis (years),,,,,,,,,
,<35,119 (14.6%),10 (3.3%),1 (1.0%),108 (26.3%),26 (13.9%),0 (0.0%),1 (6.2%),25 (20.2%)
,35-54,211 (25.9%),60 (19.9%),10 (9.9%),141 (34.3%),49 (26.2%),10 (21.3%),1 (6.2%),38 (30.6%)
,55-74,285 (35.0%),124 (41.1%),53 (52.5%),108 (26.3%),71 (38.0%),19 (40.4%),6 (37.5%),46 (37.1%)
,>74,199 (24.4%),108 (35.8%),37 (36.6%),54 (13.1%),41 (21.9%),18 (38.3%),8 (50.0%),15 (12.1%)
Sex,,,,,,,,,
,male,450 (55.3%),187 (61.9%),58 (57.4%),205 (49.9%),117 (62.6%),30 (63.8%),8 (50.0%),79 (63.7%)
,female,364 (44.7%),115 (38.1%),43 (42.6%),206 (50.1%),70 (37.4%),17 (36.2%),8 (50.0%),45 (36.3%)
Fitzpatrick skin type,,,,,,,,,
,I,88 (10.8%),43 (14.2%),12 (11.9%),33 (8.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
,II,441 (54.2%),177 (58.6%),65 (64.4%),199 (48.4%),179 (95.7%),46 (97.9%),15 (93.8%),118 (95.2%)
,III,247 (30.3%),69 (22.8%),24 (23.8%),154 (37.5%),7 (3.7%),1 (2.1%),1 (6.2%),5 (4.0%)
,IV,20 (2.5%),6 (2.0%),0 (0.0%),14 (3.4%),1 (0.5%),0 (0.0%),0 (0.0%),1 (0.8%)
,V,2 (0.2%),0 (0.0%),0 (0.0%),2 (0.5%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
,VI,2 (0.2%),0 (0.0%),0 (0.0%),2 (0.5%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
,Unknown,14 (1.7%),7 (2.3%),0 (0.0%),7 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
Lesion localization,,,,,,,,,
,Face/scalp/neck,120 (14.7%),41 (13.6%),36 (35.6%),43 (10.5%),22 (11.8%),10 (21.3%),8 (50.0%),4 (3.2%)
,Palms/soles,20 (2.5%),8 (2.6%),1 (1.0%),11 (2.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
,Upper extremities,99 (12.2%),48 (15.9%),14 (13.9%),37 (9.0%),26 (13.9%),10 (21.3%),3 (18.8%),13 (10.5%)
,Lower extremities,146 (17.9%),65 (21.5%),15 (14.9%),66 (16.1%),44 (23.5%),15 (31.9%),3 (18.8%),26 (21.0%)
,Back,247 (30.3%),98 (32.5%),23 (22.8%),126 (30.7%),66 (35.3%),6 (12.8%),2 (12.5%),58 (46.8%)
,Abdomen,91 (11.2%),19 (6.3%),3 (3.0%),69 (16.8%),12 (6.4%),2 (4.3%),0 (0.0%),10 (8.1%)
,Chest,63 (7.7%),18 (6.0%),8 (7.9%),37 (9.0%),10 (5.3%),4 (8.5%),0 (0.0%),6 (4.8%)
,Buttock,22 (2.7%),4 (1.3%),1 (1.0%),17 (4.1%),1 (0.5%),0 (0.0%),0 (0.0%),1 (0.8%)
,Genitalia,5 (0.6%),1 (0.3%),0 (0.0%),4 (1.0%),4 (2.1%),0 (0.0%),0 (0.0%),4 (3.2%)
,Unknown,1 (0.1%),0 (0.0%),0 (0.0%),1 (0.2%),2 (1.1%),0 (0.0%),0 (0.0%),2 (1.6%)
