metric,value,percent
n_patients,923.0,
age_mean,58.600216684723726,
age_median,60.0,
age_std,18.835613794739483,
age_q1,43.0,
age_q3,74.0,
age_iqr,31.0,
age_min,18.0,
age_max,95.0,
age_n_missing,0.0,
age_bin_<35,128.0,13.87
age_bin_35-54,239.0,25.89
age_bin_55-74,329.0,35.64
age_bin_>74,227.0,24.59
age_bin_Unknown,0.0,0.0
sex_male,522.0,56.55
sex_female,401.0,43.45
skinType_I,80.0,8.67
skinType_II,574.0,62.19
skinType_III,232.0,25.14
skinType_IV,19.0,2.06
skinType_V,2.0,0.22
skinType_VI,2.0,0.22
skinType_Unknown,14.0,1.52
