coord_id,probe_id,seqnames,start,annotation,distanceToTSS,gene_entrez,gene_symbol,gene_name_full
chr1-116672903,cg23804454,chr1,116672903,Distal Intergenic,1154,100302117,MIR320B1,microRNA 320b-1
chr1-119359005,cg01517416,chr1,119359005,"Intron (ENST00000715919.1/101929147, intron 5 of 5)",-9774,51179,HAO2,hydroxyacid oxidase 2
chr1-153217532,cg05668779,chr1,153217532,Promoter,-52,574414,PRR9,proline rich 9
chr1-230169714,cg01828742,chr1,230169714,"Intron (ENST00000494106.1/2590, intron 1 of 6)",102396,124904542,LOC124904542,uncharacterized LOC124904542
chr1-51329520,cg10167562,chr1,51329520,Promoter,-96,102724097,TTC39A-AS1,TTC39A antisense RNA 1
chr1-63329964,cg00347677,chr1,63329964,"Intron (ENST00000717656.1/100996301, intron 5 of 6)",-2980,102464823,MIR6068,microRNA 6068
chr1-66331055,cg05608389,chr1,66331055,"Intron (ENST00000329654.8/5142, intron 7 of 16)",-82320,105378776,LOC105378776,uncharacterized LOC105378776
chr1-67618787,cg17583741,chr1,67618787,"Intron (ENST00000769785.1/124904197, intron 1 of 2)",855,124904197,LOC124904197,uncharacterized LOC124904197
chr1-8905739,cg24325712,chr1,8905739,"Intron (ENST00000847254.1/112268261, intron 2 of 2)",21146,112268261,LINC03153,long intergenic non-protein coding RNA 3153
chr11-3123543,cg14722290,chr11,3123543,"Intron (ENST00000263650.12/114879, intron 3 of 21)",43196,114879,OSBPL5,oxysterol binding protein like 5
chr11-7605549,cg03865600,chr11,7605549,"Intron (ENST00000684123.1/8495, intron 5 of 26)",71673,51700,CYB5R2,cytochrome b5 reductase 2
chr12-11830476,cg10894527,chr12,11830476,"Intron (ENST00000396373.9/2120, intron 2 of 7)",180802,2120,ETV6,ETS variant transcription factor 6
chr12-12900120,cg03534847,chr12,12900120,"Intron (ENST00000713574.1/9052, intron 1 of 3)",9338,9052,GPRC5A,G protein-coupled receptor class C group 5 member A
chr12-93573803,cg07687131,chr12,93573803,3' UTR,-2035,144481,SOCS2-AS1,SOCS2 antisense RNA 1
chr13-99085330,cg01205935,chr13,99085330,"Intron (ENST00000652315.1/23348, intron 1 of 56)",1295,23348,DOCK9,dedicator of cytokinesis 9
chr14-100155754,cg06940198,chr14,100155754,"Intron (ENST00000305631.7/123099, intron 1 of 2)",-3447,124903380,LOC124903380,uncharacterized LOC124903380
chr14-74917994,cg19945214,chr14,74917994,"Intron (ENST00000557413.6/83694, intron 5 of 11)",5308,83694,RPS6KL1,ribosomal protein S6 kinase like 1
chr14-81709966,cg08668113,chr14,81709966,Distal Intergenic,-31036,107984704,LOC107984704,uncharacterized LOC107984704
chr14-89428575,cg10972138,chr14,89428575,"Intron (ENST00000345097.8/1112, intron 1 of 6)",11221,400236,FOXN3-AS1,FOXN3 antisense RNA 1
chr14-92473786,cg27057526,chr14,92473786,"Intron (ENST00000393265.6/123041, intron 12 of 16)",-39995,79890,RIN3,Ras and Rab interactor 3
chr14-93066217,cg14181956,chr14,93066217,"Exon (ENST00000556185.5/3705, exon 1 of 6)",271912,9950,GOLGA5,golgin A5
chr15-29103996,cg05790451,chr15,29103996,"Intron (ENST00000561069.5/321, intron 10 of 14)",-255321,728310,GOLGA6L7,golgin A6 family like 7
chr15-52482236,cg17736308,chr15,52482236,"Intron (ENST00000754846.1/ENST00000754846.1, intron 2 of 2)",46896,4644,MYO5A,myosin VA
chr15-62067628,cg08203682,chr15,62067628,"Exon (ENST00000355522.5/145741, exon 2 of 2)",651,145741,C2CD4A,C2 calcium dependent domain containing 4A
chr15-93247838,cg16715711,chr15,93247838,"Intron (ENST00000791051.1/101927025, intron 7 of 7)",16156,124900612,LOC124900612,uncharacterized LOC124900612
chr15-94856049,cg25668093,chr15,94856049,"Exon (ENST00000565166.3/440311, exon 1 of 1)",575,440311,NOP35P1,NOP53 pseudogene 1
chr15-98788774,cg08920032,chr15,98788774,"Intron (ENST00000649865.1/3480, intron 2 of 20)",4348,100616432,MIR4714,microRNA 4714
chr16-13886284,cg15661250,chr16,13886284,Distal Intergenic,-33854,2072,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit"
chr16-19286420,cg23444894,chr16,19286420,"Intron (ENST00000636231.2/728276, intron 1 of 4)",689,728276,CLEC19A,C-type lectin domain containing 19A
chr16-72990097,cg17555914,chr16,72990097,"Intron (ENST00000268489.10/463, intron 1 of 9)",-102252,283902,HCCAT5,hepatocellular carcinoma associated transcript 5
chr16-84103847,cg06109339,chr16,84103847,"Intron (ENST00000343411.8/8720, intron 1 of 22)",-12991,119863866,MBTPS1-DT,MBTPS1 divergent transcript
chr17-52991204,cg11824972,chr17,52991204,"Intron (ENST00000715801.1/105371831, intron 4 of 4)",129102,100506650,LINC02876,long intergenic non-protein coding RNA 2876
chr17-83091690,cg03260530,chr17,83091690,"Intron (ENST00000320095.12/284207, intron 2 of 3)",32344,124904094,LOC124904094,uncharacterized LOC124904094
chr18-1846746,cg25944011,chr18,1846746,"Intron (ENST00000661994.1/105371957, intron 3 of 4)",-324494,105371960,LOC105371960,uncharacterized LOC105371960
chr19-13001468,cg22824635,chr19,13001468,"Intron (ENST00000592199.6/4784, intron 1 of 10)",5993,4784,NFIX,nuclear factor I X
chr19-51764454,cg26944755,chr19,51764454,"Exon (ENST00000814896.1/ENST00000814896.1, exon 1 of 1)",12428,2358,FPR2,formyl peptide receptor 2
chr19-51822397,cg14551693,chr19,51822397,"Intron (ENST00000339223.5/2359, intron 1 of 1)",-18282,2357,FPR1,formyl peptide receptor 1
chr19-54081613,cg04236294,chr19,54081613,Distal Intergenic,89976,59285,CACNG6,calcium voltage-gated channel auxiliary subunit gamma 6
chr19-54901431,cg09645424,chr19,54901431,"Intron (ENST00000783854.1/9437, intron 2 of 2)",-104721,107985325,GP6-AS1,GP6 antisense RNA 1
chr2-121257724,cg16407692,chr2,121257724,"Intron (ENST00000263707.6/29842, intron 2 of 14)",27478,29842,TFCP2L1,transcription factor CP2 like 1
chr2-133568445,cg01586116,chr2,133568445,Promoter,18,344148,NCKAP5,NCK associated protein 5
chr2-165793399,cg00999988,chr2,165793399,Promoter,-822,124906086,LOC124906086,uncharacterized LOC124906086
chr2-165794720,cg18741205,chr2,165794720,"Exon (ENST00000741725.1/124906086, exon 1 of 2)",499,124906086,LOC124906086,uncharacterized LOC124906086
chr2-191847178,cg08390172,chr2,191847178,Promoter,-90,8436,CAVIN2,caveolae associated protein 2
chr2-205698574,cg01631497,chr2,205698574,"Intron (ENST00000464003.1/8828, intron 3 of 3)",16584,8828,NRP2,neuropilin 2
chr2-217162798,cg02558751,chr2,217162798,"Intron (ENST00000695932.1/101928278, intron 3 of 11)",-7404,124907980,LOC124907980,uncharacterized LOC124907980
chr2-219001714,cg00215432,chr2,219001714,Promoter,-6,494324,MIR375,microRNA 375
chr2-42792988,cg09480054,chr2,42792988,Promoter,-395,23498,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase"
chr2-43228722,cg26695233,chr2,43228722,"Exon (ENST00000623515.3/100129726, exon 1 of 1)",1886,100129726,LINC01126,long intergenic non-protein coding RNA 1126
chr2-44953127,cg24673771,chr2,44953127,"Intron (ENST00000760330.1/ENST00000760330.1, intron 1 of 1)",-7342,100506108,SIX3-AS1,SIX3 antisense RNA 1
chr2-85413638,cg09337254,chr2,85413638,"Intron (ENST00000409670.5/822, intron 1 of 9)",4794,822,CAPG,"capping actin protein, gelsolin like"
chr2-85413686,cg16437908,chr2,85413686,"Intron (ENST00000409670.5/822, intron 1 of 9)",4746,822,CAPG,"capping actin protein, gelsolin like"
chr20-22054099,cg10501222,chr20,22054099,Promoter,38,100270679,LINC01432,long intergenic non-protein coding RNA 1432
chr20-40962036,cg08517938,chr20,40962036,"Intron (ENST00000833690.1/105372621, intron 3 of 3)",43826,105372621,LOC105372621,uncharacterized LOC105372621
chr22-28297717,cg06751794,chr22,28297717,"Exon (ENST00000612946.4/23331, exon 2 of 21)",-64894,124905171,LOC124905171,small nucleolar RNA SNORD42
chr22-39994952,cg19609502,chr22,39994952,Promoter,-2,113828,SACK1F,scaffolding CK1 anchoring protein F
chr3-109257504,cg23240660,chr3,109257504,Distal Intergenic,59013,151871,DPPA2,developmental pluripotency associated 2
chr3-158104197,cg05512327,chr3,158104197,"Intron (ENST00000483851.7/6474, intron 1 of 4)",-1658,51319,RSRC1,arginine and serine rich coiled-coil 1
chr3-27731213,cg05583831,chr3,27731213,Distal Intergenic,-8502,8320,EOMES,eomesodermin
chr3-31963149,cg18942519,chr3,31963149,"Intron (ENST00000396556.7/114884, intron 1 of 11)",-18601,344787,ZNF860,zinc finger protein 860
chr3-46931793,cg07220903,chr3,46931793,"Intron (ENST00000718454.1/151903, intron 2 of 6)",-47873,23218,NBEAL2,neurobeachin like 2
chr3-54968026,cg26859083,chr3,54968026,Promoter,-938,57408,LRTM1,leucine rich repeat transmembrane protein 1
chr3-61594868,cg20559405,chr3,61594868,"Intron (ENST00000495879.1/5793, intron 1 of 2)",33299,5793,PTPRG,protein tyrosine phosphatase receptor type G
chr4-1221323,cg12389346,chr4,1221323,"Intron (ENST00000382952.8/1487, intron 5 of 9)",11203,285463,CTBP1-AS,CTBP1 antisense RNA
chr5-10973516,cg24977670,chr5,10973516,3' UTR,-186491,102723441,CTD-2154B17.1,uncharacterized CTD-2154B17.1
chr5-150477591,cg14040735,chr5,150477591,"Intron (ENST00000519040.2/102546298, intron 2 of 2)",-8227,3340,NDST1,N-deacetylase and N-sulfotransferase 1
chr5-16627046,cg26033765,chr5,16627046,"Exon (ENST00000700847.1/101929524, exon 2 of 2)",-9945,54463,RETREG1,reticulophagy regulator 1
chr5-2075398,cg11525032,chr5,2075398,"Intron (ENST00000653000.1/105374618, intron 2 of 8)",144226,105374618,LOC105374618,uncharacterized LOC105374618
chr5-2117414,cg04913686,chr5,2117414,"Intron (ENST00000653000.1/105374618, intron 8 of 8)",-149443,124901166,LOC124901166,uncharacterized LOC124901166
chr5-2132763,cg18699526,chr5,2132763,Distal Intergenic,-134094,124901166,LOC124901166,uncharacterized LOC124901166
chr5-2643057,cg06584218,chr5,2643057,Distal Intergenic,-69534,101234261,LSINCT5,long stress-induced non-coding transcript 5
chr5-2643419,cg11341199,chr5,2643419,Distal Intergenic,-69172,101234261,LSINCT5,long stress-induced non-coding transcript 5
chr5-3963162,cg15142042,chr5,3963162,Distal Intergenic,-172476,105374627,LINC02063,long intergenic non-protein coding RNA 2063
chr5-82735249,cg25028077,chr5,82735249,Distal Intergenic,4726,105379050,LOC105379050,uncharacterized LOC105379050
chr6-129134067,cg20498763,chr6,129134067,"Intron (ENST00000617695.5/3908, intron 4 of 63)",250929,3908,LAMA2,laminin subunit alpha 2
chr6-151004505,cg21691367,chr6,151004505,"Intron (ENST00000611279.4/25902, intron 20 of 27)",69537,101928788,ARL4AP5,ARF like GTPase 4A pseudogene 5
chr6-21165276,cg16724817,chr6,21165276,"Intron (ENST00000274695.8/54901, intron 13 of 15)",-24231,105374966,LOC105374966,uncharacterized LOC105374966
chr6-24358077,cg16306115,chr6,24358077,Promoter,-18,51473,DCDC2,doublecortin domain containing 2
chr6-5026089,cg02503159,chr6,5026089,"Intron (ENST00000653195.1/100129461, intron 2 of 2)",-22026,10799,RPP40,ribonuclease P/MRP subunit p40
chr6-74731278,cg27596415,chr6,74731278,"Intron (ENST00000432484.6/105377858, intron 1 of 2)",75199,105377858,LOC105377858,uncharacterized LOC105377858
chr7-128241244,cg26814075,chr7,128241244,Promoter,-34,3952,LEP,leptin
chr7-128271913,cg20372230,chr7,128271913,Distal Intergenic,30635,3952,LEP,leptin
chr7-130994761,cg17001464,chr7,130994761,"Intron (ENST00000642963.1/105375509, intron 2 of 6)",113167,105375509,LOC105375509,uncharacterized LOC105375509
chr7-131941948,cg08721187,chr7,131941948,"Intron (ENST00000415393.1/101928782, intron 5 of 5)",44307,101928782,LOC101928782,uncharacterized LOC101928782
chr7-134213105,cg08072507,chr7,134213105,"Intron (ENST00000285928.3/136332, intron 15 of 19)",85806,136332,LRGUK,leucine rich repeats and guanylate kinase domain containing
chr7-142720406,cg13939546,chr7,142720406,Distal Intergenic,-92987,105375541,LOC105375541,uncharacterized LOC105375541
chr7-150515618,cg08637514,chr7,150515618,"Intron (ENST00000313543.5/168537, intron 1 of 1)",746,168537,GIMAP7,"GTPase, IMAP family member 7"
chr7-158242088,cg17139690,chr7,158242088,"Intron (ENST00000389413.7/5799, intron 3 of 21)",254941,105375613,LOC105375613,uncharacterized LOC105375613
chr7-29563788,cg18570553,chr7,29563788,Promoter,-47,222171,PRR15,proline rich 15
chr7-29563790,cg09282258,chr7,29563790,Promoter,-45,222171,PRR15,proline rich 15
chr7-51646534,cg22101977,chr7,51646534,"Intron (ENST00000769890.1/105375278, intron 4 of 8)",32268,124901634,LOC124901634,uncharacterized LOC124901634
chr7-54864977,cg25246421,chr7,54864977,"Intron (ENST00000795376.1/124901636, intron 2 of 3)",87683,124901636,LOC124901636,uncharacterized LOC124901636
chr7-78771251,cg04379508,chr7,78771251,5' UTR,-237737,100874021,MAGI2-AS2,MAGI2 antisense RNA 2
chr8-110918587,cg15718448,chr8,110918587,"Intron (ENST00000670392.2/101927459, intron 2 of 2)",121785,101927459,LINC01608,long intergenic non-protein coding RNA 1608
chr8-125386488,cg19089701,chr8,125386488,Distal Intergenic,-43870,10221,TRIB1,tribbles pseudokinase 1
chr8-127795594,cg24032265,chr8,127795594,Promoter,-368,100302185,MIR1204,microRNA 1204
chr8-138062313,cg11975824,chr8,138062313,"Intron (ENST00000716518.1/ENST00000716518.1, intron 5 of 6)",21344,401478,LOC401478,uncharacterized LOC401478
chr8-140598334,cg21208682,chr8,140598334,"Intron (ENST00000220592.10/27161, intron 1 of 18)",37299,27161,AGO2,argonaute RISC catalytic component 2
chr8-141760551,cg07969668,chr8,141760551,Distal Intergenic,25762,100302147,MIR1302-7,microRNA 1302-7
chr8-141798274,cg13201943,chr8,141798274,Distal Intergenic,-11961,100302147,MIR1302-7,microRNA 1302-7
chr8-143495067,cg24974704,chr8,143495067,"Intron (ENST00000262577.6/23144, intron 4 of 11)",63319,100310756,LOC100310756,uncharacterized LOC100310756
chr8-20254822,cg06879998,chr8,20254822,"Intron (ENST00000265801.6/11178, intron 1 of 2)",-20951,100874051,LZTS1-AS1,LZTS1 antisense RNA 1
chr8-48735143,cg15397374,chr8,48735143,Promoter,168,79645,CLXN,calaxin
chr8-53876646,cg03475285,chr8,53876646,"Exon (ENST00000606037.1/ENST00000606037.1, exon 1 of 1)",24851,8601,RGS20,regulator of G protein signaling 20
