coord_id,probe_id,seqnames,start,annotation,distanceToTSS,gene_entrez,gene_symbol,gene_name_full
chr1-103108540,cg24495344,chr1,103108540,"Intron (ENST00000645458.1/1301, intron 1 of 25)",332,1301,COL11A1,collagen type XI alpha 1 chain
chr1-103108966,cg03520644,chr1,103108966,Promoter,-94,1301,COL11A1,collagen type XI alpha 1 chain
chr1-110068842,cg06215569,chr1,110068842,"Intron (ENST00000473429.5/85369, intron 12 of 13)",1830,257,ALX3,ALX homeobox 3
chr1-116672903,cg23804454,chr1,116672903,Distal Intergenic,1154,100302117,MIR320B1,microRNA 320b-1
chr1-151131526,cg16399136,chr1,151131526,"Exon (ENST00000563624.1/ENST00000563624.1, exon 1 of 1)",15105,10500,SEMA6C,semaphorin 6C
chr1-151131709,cg04065086,chr1,151131709,3' UTR,14922,10500,SEMA6C,semaphorin 6C
chr1-169312477,cg08150816,chr1,169312477,"Intron (ENST00000432081.1/ENST00000432081.1, intron 1 of 1)",55471,29922,NME7,NME/NM23 family member 7
chr1-169460459,cg25464921,chr1,169460459,5' UTR,210,57821,CCDC181,coiled-coil domain containing 181
chr1-169698019,cg11574793,chr1,169698019,"Intron (ENST00000498289.5/55732, intron 3 of 28)",13683,6402,SELL,selectin L
chr1-169708779,cg01158456,chr1,169708779,"Exon (ENST00000650983.1/6402, exon 3 of 9)",2923,6402,SELL,selectin L
chr1-179930581,cg23471522,chr1,179930581,"Intron (ENST00000738195.1/101928933, intron 1 of 2)",11302,101928933,LOC101928933,uncharacterized LOC101928933
chr1-207959441,cg10210594,chr1,207959441,"Exon (ENST00000638446.1/105372883, exon 1 of 5)",9386,105372883,LINC02767,long intergenic non-protein coding RNA 2767
chr1-210328276,cg22332066,chr1,210328276,5' UTR,17092,124904502,LOC124904502,uncharacterized LOC124904502
chr1-210328289,cg03893872,chr1,210328289,5' UTR,17105,124904502,LOC124904502,uncharacterized LOC124904502
chr1-212105143,cg01081168,chr1,212105143,"Intron (ENST00000496442.1/51514, intron 1 of 1)",27530,100422947,MIR3122,microRNA 3122
chr1-217137671,cg07029873,chr1,217137671,Promoter,84,2104,ESRRG,estrogen related receptor gamma
chr1-220895793,cg26047066,chr1,220895793,Distal Intergenic,-15623,100873924,HLX-AS1,HLX antisense RNA 1
chr1-2214197,cg01179713,chr1,2214197,Promoter,-1477,199990,FAAP20,FA core complex associated protein 20
chr1-2214213,cg24148368,chr1,2214213,Promoter,-1493,199990,FAAP20,FA core complex associated protein 20
chr1-221713296,cg07946977,chr1,221713296,"Intron (ENST00000366899.4/11221, intron 2 of 3)",28793,11221,DUSP10,dual specificity phosphatase 10
chr1-224175746,cg10502231,chr1,224175746,Promoter,-10,8560,DEGS1,"delta 4-desaturase, sphingolipid 1"
chr1-231161356,cg15104644,chr1,231161356,Promoter,-702,440730,TRIM67,tripartite motif containing 67
chr1-234531770,cg02550311,chr1,234531770,"Exon (ENST00000688288.2/ENST00000688288.2, exon 1 of 1)",805,100506795,LINC01354,long intergenic non-protein coding RNA 1354
chr1-234531802,cg21546522,chr1,234531802,"Exon (ENST00000688288.2/ENST00000688288.2, exon 1 of 1)",773,100506795,LINC01354,long intergenic non-protein coding RNA 1354
chr1-24965048,cg04554131,chr1,24965048,Promoter,73,864,RUNX3,RUNX family transcription factor 3
chr1-24965054,cg27058497,chr1,24965054,Promoter,67,864,RUNX3,RUNX family transcription factor 3
chr1-27589806,cg02496392,chr1,27589806,"Intron (ENST00000247087.10/27245, intron 1 of 5)",14625,27245,AHDC1,AT-hook DNA binding motif containing 1
chr1-3003220,cg07099084,chr1,3003220,Distal Intergenic,-18247,140625,ACTRT2,actin related protein T2
chr1-3063598,cg04484550,chr1,3063598,"Exon (ENST00000321399.8/440556, exon 1 of 6)",4054,440556,PRDM16-DT,PRDM16 divergent transcript
chr1-34200291,cg19053103,chr1,34200291,"Intron (ENST00000373374.7/84970, intron 2 of 6)",33408,84970,C1orf94,chromosome 1 open reading frame 94
chr1-37996014,cg17077180,chr1,37996014,Distal Intergenic,-5939,10946,SF3A3,splicing factor 3a subunit 3
chr1-39683977,cg22851420,chr1,39683977,"Exon (ENST00000372844.8/51440, exon 3 of 4)",7508,51440,HPCAL4,hippocalcin like 4
chr1-40304035,cg07575466,chr1,40304035,"Intron (ENST00000372748.8/1298, intron 25 of 31)",13778,1298,COL9A2,collagen type IX alpha 2 chain
chr1-47434583,cg22438763,chr1,47434583,Promoter,58,84793,FOXD2-AS1,FOXD2 adjacent opposite strand RNA 1
chr1-47434592,cg08638320,chr1,47434592,Promoter,49,84793,FOXD2-AS1,FOXD2 adjacent opposite strand RNA 1
chr1-47434654,cg15868302,chr1,47434654,Promoter,-13,84793,FOXD2-AS1,FOXD2 adjacent opposite strand RNA 1
chr1-50415512,cg16391955,chr1,50415512,Distal Intergenic,-3669,105378714,LOC105378714,uncharacterized LOC105378714
chr1-51329564,cg21715339,chr1,51329564,Promoter,-52,102724097,TTC39A-AS1,TTC39A antisense RNA 1
chr1-61080541,cg14093103,chr1,61080541,"Intron (ENST00000371191.5/4774, intron 1 of 10)",-23656,105378764,LOC105378764,uncharacterized LOC105378764
chr1-63329964,cg00347677,chr1,63329964,"Intron (ENST00000717656.1/100996301, intron 5 of 6)",-2980,102464823,MIR6068,microRNA 6068
chr1-65264797,cg09235539,chr1,65264797,5' UTR,16578,9829,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6
chr1-66564512,cg26931601,chr1,66564512,"Intron (ENST00000682707.1/84251, intron 2 of 22)",31245,84251,SGIP1,SH3GL interacting endocytic adaptor 1
chr1-67618787,cg17583741,chr1,67618787,"Intron (ENST00000769785.1/124904197, intron 1 of 2)",855,124904197,LOC124904197,uncharacterized LOC124904197
chr1-69569396,cg00165323,chr1,69569396,"Intron (ENST00000651989.2/57554, intron 1 of 26)",1474,57554,LRRC7,leucine rich repeat containing 7
chr1-75137160,cg12764034,chr1,75137160,"Exon (ENST00000294638.9/431707, exon 4 of 10)",-4584,131216852,LHX8-AS1,LHX8 antisense RNA 1
chr1-76154585,cg24580071,chr1,76154585,"Intron (ENST00000328299.4/256435, intron 1 of 4)",79839,256435,ST6GALNAC3,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
chr1-76154648,cg04073724,chr1,76154648,"Intron (ENST00000328299.4/256435, intron 1 of 4)",79902,256435,ST6GALNAC3,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
chr1-79006675,cg04360793,chr1,79006675,5' UTR,181798,107984998,LOC107984998,uncharacterized LOC107984998
chr1-8905739,cg24325712,chr1,8905739,"Intron (ENST00000847254.1/112268261, intron 2 of 2)",21146,112268261,LINC03153,long intergenic non-protein coding RNA 3153
chr1-90719864,cg24884703,chr1,90719864,"Intron (ENST00000660766.1/ENST00000660766.1, intron 1 of 2)",-2562,343472,BARHL2,BarH like homeobox 2
chr1-92481142,cg18146737,chr1,92481142,"Intron (ENST00000294702.6/2672, intron 3 of 6)",5783,2672,GFI1,growth factor independent 1 transcriptional repressor
chr1-92481477,cg18316974,chr1,92481477,"Intron (ENST00000294702.6/2672, intron 3 of 6)",5448,2672,GFI1,growth factor independent 1 transcriptional repressor
chr1-92482030,cg09935388,chr1,92482030,"Intron (ENST00000294702.6/2672, intron 3 of 6)",4895,2672,GFI1,growth factor independent 1 transcriptional repressor
chr10-101139527,cg05482942,chr10,101139527,"Exon (ENST00000747671.1/ENST00000747671.1, exon 1 of 2)",1911,100038246,TLX1NB,TLX1 neighbor
chr10-107025675,cg24796548,chr10,107025675,"Intron (ENST00000263054.11/114815, intron 1 of 25)",139031,114815,SORCS1,sortilin related VPS10 domain containing receptor 1
chr10-117735159,cg19912142,chr10,117735159,"Exon (ENST00000445647.2/102724627, exon 1 of 2)",649,102724627,LINC02674,long intergenic non-protein coding RNA 2674
chr10-119281683,cg12381367,chr10,119281683,"Intron (ENST00000392870.3/2869, intron 1 of 15)",54499,105378511,GRK5-AS1,GRK5 antisense RNA 1
chr10-128181110,cg02947862,chr10,128181110,Promoter,78,101927381,LINC01163,long intergenic non-protein coding RNA 1163
chr10-132408128,cg13506288,chr10,132408128,"Intron (ENST00000631148.2/170394, intron 2 of 2)",10960,170394,PWWP2B,PWWP domain containing 2B
chr10-22334618,cg13327545,chr10,22334618,Distal Intergenic,-10827,9576,SPAG6,sperm associated antigen 6
chr10-23686778,cg11582297,chr10,23686778,Distal Intergenic,-7968,56243,KIAA1217,KIAA1217
chr10-23797622,cg10778104,chr10,23797622,"Intron (ENST00000376462.5/56243, intron 1 of 18)",102876,56243,KIAA1217,KIAA1217
chr10-2792218,cg18354041,chr10,2792218,Distal Intergenic,194250,105376352,LOC105376352,uncharacterized LOC105376352
chr10-47257761,cg10084487,chr10,47257761,Distal Intergenic,-42436,2662,GDF10,growth differentiation factor 10
chr10-5094589,cg12530994,chr10,5094589,Promoter,-1046,124900291,LOC124900291,U8 small nucleolar RNA
chr10-52755540,cg04607003,chr10,52755540,Promoter,30,105378305,LOC105378305,uncharacterized LOC105378305
chr10-61662881,cg00755980,chr10,61662881,Promoter,-48,219621,CABCOCO1,ciliary associated calcium binding coiled-coil 1
chr10-75547445,cg17458910,chr10,75547445,"Intron (ENST00000611255.5/83938, intron 2 of 6)",-5013,693191,MIR606,microRNA 606
chr10-8058797,cg11679455,chr10,8058797,"Exon (ENST00000379328.9/2625, exon 3 of 6)",-1754,399717,GATA3-AS1,GATA3 antisense RNA 1
chr10-91052088,cg04061072,chr10,91052088,"Intron (ENST00000846440.1/100874184, intron 4 of 4)",18970,100874184,LINC00502,long intergenic non-protein coding RNA 502
chr10-99521945,cg26075184,chr10,99521945,Distal Intergenic,10836,101927324,LINC01475,long intergenic non-protein coding RNA 1475
chr10-99522427,cg19960420,chr10,99522427,Distal Intergenic,10354,101927324,LINC01475,long intergenic non-protein coding RNA 1475
chr10-99522968,cg01987516,chr10,99522968,Distal Intergenic,9813,101927324,LINC01475,long intergenic non-protein coding RNA 1475
chr10-99537884,cg23615741,chr10,99537884,Distal Intergenic,4942,159296,NKX2-3,NK2 homeobox 3
chr11-133175412,cg10403212,chr11,133175412,"Intron (ENST00000524381.6/4978, intron 1 of 7)",190668,100874333,OPCML-IT1,OPCML intronic transcript 1
chr11-18956621,cg27410165,chr11,18956621,"Exon (ENST00000531736.1/ENST00000531736.1, exon 1 of 1)",-17207,259249,MRGPRX1,MAS related GPR family member X1
chr11-3123543,cg14722290,chr11,3123543,"Intron (ENST00000263650.12/114879, intron 3 of 21)",43196,114879,OSBPL5,oxysterol binding protein like 5
chr11-31817972,cg15778437,chr11,31817972,Promoter,-11,5080,PAX6,paired box 6
chr11-31818079,cg01867395,chr11,31818079,Promoter,-118,5080,PAX6,paired box 6
chr11-31818083,cg13570972,chr11,31818083,Promoter,-122,5080,PAX6,paired box 6
chr11-31818241,cg09656389,chr11,31818241,Promoter,-280,5080,PAX6,paired box 6
chr11-35067273,cg09081069,chr11,35067273,"Intron (ENST00000747996.1/105376627, intron 1 of 2)",15399,105376626,LOC105376626,uncharacterized LOC105376626
chr11-35525676,cg19489174,chr11,35525676,5' UTR,4624,25891,PAMR1,peptidase domain containing associated with muscle regeneration 1
chr11-405969,cg17376853,chr11,405969,3' UTR,11486,59307,SIGIRR,single Ig and TIR domain containing
chr11-47355202,cg01539849,chr11,47355202,3' UTR,-2500,4607,MYBPC3,myosin binding protein C3
chr11-47590227,cg18356785,chr11,47590227,"Exon (ENST00000302514.4/114900, exon 2 of 2)",-24658,10658,CELF1,CUGBP Elav-like family member 1
chr11-62547561,cg20518446,chr11,62547561,"Exon (ENST00000538101.1/ENST00000538101.1, exon 2 of 2)",8674,79026,AHNAK,AHNAK nucleoprotein
chr11-65607361,cg01180479,chr11,65607361,"Exon (ENST00000530153.6/4296, exon 5 of 10)",8021,4296,MAP3K11,mitogen-activated protein kinase kinase kinase 11
chr11-66317159,cg07145284,chr11,66317159,Promoter,-115,57124,CD248,CD248 molecule
chr11-84318753,cg20708254,chr11,84318753,"Intron (ENST00000398309.6/1740, intron 2 of 22)",-402031,124902727,LOC124902727,uncharacterized LOC124902727
chr11-96163121,cg03103075,chr11,96163121,"Intron (ENST00000524717.6/84441, intron 1 of 4)",-178317,100422991,MIR1260B,microRNA 1260b
chr12-108524314,cg15877469,chr12,108524314,"Exon (ENST00000547397.1/9733, exon 3 of 3)",9037,11153,FICD,FIC domain protein adenylyltransferase
chr12-111636239,cg11578064,chr12,111636239,"Intron (ENST00000726948.1/124903020, intron 1 of 2)",-36563,6311,ATXN2,ataxin 2
chr12-111636281,cg12405048,chr12,111636281,"Intron (ENST00000726948.1/124903020, intron 1 of 2)",-36605,6311,ATXN2,ataxin 2
chr12-111636353,cg25718342,chr12,111636353,"Intron (ENST00000726948.1/124903020, intron 1 of 2)",-36677,6311,ATXN2,ataxin 2
chr12-111766799,cg22326588,chr12,111766799,"Intron (ENST00000546840.3/217, intron 2 of 7)",12909,217,ALDH2,aldehyde dehydrogenase 2 family member
chr12-1608970,cg09953526,chr12,1608970,"Intron (ENST00000539198.5/81029, intron 1 of 3)",-14389,144699,FBXL14,F-box and leucine rich repeat protein 14
chr12-16350617,cg15747993,chr12,16350617,"Intron (ENST00000536371.5/4257, intron 1 of 3)",3475,4257,MGST1,microsomal glutathione S-transferase 1
chr12-31326918,cg07290269,chr12,31326918,"Intron (ENST00000539004.5/58516, intron 1 of 4)",-39370,124903091,LOC124903091,U6 spliceosomal RNA
chr12-31370114,cg16980270,chr12,31370114,Promoter,-297,101929027,LINC02387,long intergenic non-protein coding RNA 2387
chr12-49295679,cg14029489,chr12,49295679,"Exon (ENST00000257860.9/5630, exon 1 of 9)",532,5630,PRPH,peripherin
chr12-53677479,cg23931487,chr12,53677479,Promoter,-71,517,ATP5MC2,ATP synthase membrane subunit c locus 2
chr12-69906629,cg19748086,chr12,69906629,"Intron (ENST00000552032.7/196446, intron 11 of 24)",104960,196446,MYRFL,myelin regulatory factor like
chr12-75207376,cg06563089,chr12,75207376,"Exon (ENST00000548513.5/3747, exon 1 of 5)",2463,3747,KCNC2,potassium voltage-gated channel subfamily C member 2
chr13-107585616,cg12463883,chr13,107585616,"Intron (ENST00000375915.4/728215, intron 1 of 2)",-54368,100302286,MIR1267,microRNA 1267
chr13-111973213,cg07911664,chr13,111973213,"Exon (ENST00000833640.1/ENST00000833640.1, exon 1 of 1)",42070,105378193,LOC105378193,uncharacterized LOC105378193
chr13-24511162,cg18582260,chr13,24511162,"Intron (ENST00000445572.5/374491, intron 3 of 9)",1616,143,PARP4,poly(ADP-ribose) polymerase family member 4
chr13-95552723,cg25032595,chr13,95552723,5' UTR,-18813,100874194,CLDN10-AS1,CLDN10 antisense RNA 1
chr13-99257005,cg06164122,chr13,99257005,"Intron (ENST00000355700.9/337867, intron 2 of 4)",4739,124903198,LOC124903198,uncharacterized LOC124903198
chr14-101561396,cg15341124,chr14,101561396,Promoter,-99,1735,DIO3,iodothyronine deiodinase 3
chr14-103127165,cg18587137,chr14,103127165,"Exon (ENST00000333007.8/7127, exon 4 of 13)",-4071,105370683,LINC00677,long intergenic non-protein coding RNA 677
chr14-103712797,cg25999604,chr14,103712797,3' UTR,2707,7517,XRCC3,X-ray repair cross complementing 3
chr14-103724412,cg03509898,chr14,103724412,"Intron (ENST00000216602.10/79038, intron 1 of 7)",8682,79038,ZFYVE21,zinc finger FYVE-type containing 21
chr14-104591896,cg00905584,chr14,104591896,3' UTR,73662,101929634,LINC02280,long intergenic non-protein coding RNA 2280
chr14-106813029,cg07929646,chr14,106813029,Distal Intergenic,37970,100847062,MIR5195,microRNA 5195
