cpg,H,p_value,eta_squared,max_delta,NV,NIM,IM
chr3-141383756,413.352419263456,1.7444664293242e-90,0.50721629995494,0.195080676555005,0.341402382098689,0.43227318838712,0.536483058653694
chr1-52920945,403.97037254377,1.90085143901447e-88,0.495647808315376,0.126549696252138,0.296843168275983,0.363348711806381,0.423392864528121
chr1-210328276,402.161823307203,4.69536818325659e-88,0.493417784595812,0.210882545928283,0.347764756718413,0.441084422674175,0.558647302646696
chr12-40693656,402.011294752247,5.06240064900652e-88,0.493232176020033,0.152247543889556,0.220117499935005,0.279702306635649,0.372365043824561
chr1-92481267,401.676484929247,5.9849364386962e-88,0.49281934023335,0.198464872809171,0.225792442172357,0.297316601346872,0.424257314981528
chr1-210328289,399.641729732846,1.65539263777375e-87,0.490310394245186,0.214836527589626,0.361077371758042,0.453831008337614,0.575913899347668
chr9-131423518,397.429590741853,5.00335015746081e-87,0.487582725945565,0.225969467722494,0.320593868970444,0.420068750570312,0.546563336692938
chr3-141383810,397.061131005565,6.0154886680597e-87,0.487128398280598,0.185140792692226,0.269050100991497,0.355750010533476,0.454190893683723
chr9-34655025,396.918727966557,6.45941726586794e-87,0.486952808836691,0.200727698236271,0.316446130804737,0.40735833170316,0.517173829041008
chr10-47257761,394.933719944705,1.74273902027536e-86,0.484505203384347,0.224826488687686,0.853462943620416,0.778538033271888,0.62863645493273
chr1-27536787,394.671078735929,1.98730337040682e-86,0.484181354791528,0.187418693601751,0.353123039688467,0.440709049203463,0.540541733290218
chr14-89185203,392.316474682822,6.45000338798757e-86,0.481278020570681,0.222057415529582,0.414792200779895,0.489683022106926,0.636849616309476
chr15-98713880,392.01351941396,7.50491613526357e-86,0.48090446290254,0.191903744947245,0.282485607102527,0.351298797559363,0.474389352049772
chr16-67944546,391.433820041406,1.00282687187893e-85,0.480189667128738,0.143393857333498,0.41623708294579,0.499767322953193,0.559630940279288
chr7-157573440,390.766641932509,1.39991558481071e-85,0.479367006082008,0.148436992897064,0.922836068520548,0.889696346806087,0.774399075623484
chr7-157570606,390.39971390982,1.68181900641035e-85,0.478914567089791,0.127088697931405,0.930512007509393,0.902859802705256,0.803423309577988
chr7-73704602,390.005487033804,2.04825740966495e-85,0.478428467365972,0.0867418012584596,0.438733859323535,0.488988535761858,0.525475660581995
chr17-1555395,386.033615466548,1.49233212101473e-84,0.473530968516089,0.199861206220408,0.222730258052065,0.308045424250092,0.422591464272473
chr13-101988099,384.896586436354,2.63492466993003e-84,0.472128959847539,0.181780646207673,0.865719878092201,0.807815558074183,0.683939231884528
chr10-99521845,383.749026469973,4.67689569363113e-84,0.470713966054221,0.138873314803283,0.184059828242509,0.254773373407391,0.322933143045792
chr19-49338777,382.603081491181,8.29461961882407e-84,0.469300963614281,0.143836758170997,0.394528929618738,0.468165971074367,0.538365687789735
chr5-15249395,382.535686937849,8.57888835348835e-84,0.469217863055301,0.221652194559614,0.814049765850334,0.729455797911353,0.592397571290719
chr20-25040645,382.26783103781,9.80833262827667e-84,0.468887584510247,0.178796206595313,0.377661397543291,0.454377483518854,0.556457604138604
chr12-111636239,381.554537485136,1.40115090785137e-83,0.468008061017431,0.236326364256761,0.33815640516129,0.422901903678724,0.574482769418052
chr13-76887290,381.230009318449,1.64799279462066e-83,0.467607902982057,0.166506719542276,0.311109970787843,0.393338775567719,0.47761669033012
chr17-81518502,379.906740053093,3.19374015365009e-83,0.465976251606773,0.212331490888022,0.35709935587175,0.461682961918961,0.569430846759772
chr7-50318228,379.855120229119,3.27724327459971e-83,0.465912602008778,0.194515007833317,0.65508314895659,0.541409011665087,0.460568141123273
chr20-43752828,379.82300490831,3.33029292087698e-83,0.465873002353033,0.163862470217619,0.516380102292879,0.419036195539378,0.352517632075261
chr3-128496721,379.042236541801,4.92066875758461e-83,0.464910279336376,0.189403830834704,0.37275807546938,0.446701712556567,0.562161906304084
chr18-55592729,378.935201129691,5.19118582459248e-83,0.464778299790002,0.141385307608921,0.926215255124388,0.890097752678676,0.784829947515468
chr16-1532579,378.650423959678,5.98556500861436e-83,0.464427156547075,0.174402459234371,0.333188876212095,0.434389729242178,0.507591335446466
chr3-18127337,378.305368788252,7.11267443568454e-83,0.464001687778363,0.190730601885864,0.732538720914638,0.626153795433172,0.541808119028774
chr7-40299325,378.182616779083,7.5628970840791e-83,0.463850328950781,0.215884934412015,0.71560117615401,0.605515195408682,0.499716241741996
chr7-128241244,377.68724010191,9.68852957314569e-83,0.463239506907411,0.218284957122791,0.211243122936919,0.305058770830395,0.429528080059709
chr8-117440242,377.564584424457,1.03013041762879e-82,0.46308826686123,0.230882568895951,0.847111090678907,0.788493695316582,0.616228521782957
chr11-65559061,377.002926939855,1.3641263070139e-82,0.462395717558391,0.137084013400789,0.233299032175993,0.304452930551183,0.370383045576782
chr2-73983729,375.726162605774,2.58285744431756e-82,0.460821408885049,0.162700993180337,0.350462229646142,0.4222338989185,0.513163222826479
chr8-80727633,375.725133836579,2.58418636816507e-82,0.460820140365695,0.202920560157335,0.209734520447613,0.312349117193593,0.412655080604947
chr4-1034096,375.709119611109,2.60496130236598e-82,0.460800394095079,0.254448618165682,0.312909715247634,0.439540059611835,0.567358333413316
chr7-40016150,375.706910211047,2.60784059328153e-82,0.460797669804003,0.139522487726951,0.208475917357163,0.283235574081759,0.347998405084114
chr19-13018264,375.689797768535,2.63024958583518e-82,0.460776569381671,0.140028489033624,0.227440671295648,0.296700960233101,0.367469160329271
chr11-47590227,375.616097268781,2.72898294215207e-82,0.46068569330306,0.33206667678047,0.15783891139982,0.309730366148867,0.48990558818029
chr11-62479776,375.581401607649,2.77673790067772e-82,0.460642911969974,0.155363908724971,0.479760071203932,0.561215483565797,0.635123979928903
chr15-94607314,375.218608747496,3.32900430496918e-82,0.46019557182182,0.212378959807672,0.562878986199562,0.447999524837886,0.35050002639189
chr1-208942839,374.878013606769,3.94705930588313e-82,0.459775602474438,0.161940023667572,0.912388811967423,0.883294623117637,0.750448788299851
chr4-101191743,374.781601152428,4.14199290196195e-82,0.45965672151964,0.23960629886446,0.249566806664182,0.363361075283582,0.489173105528643
chr11-31818083,374.488782583828,4.79506053851572e-82,0.459295662865386,0.21114561296758,0.145608123993923,0.258363845608653,0.356753736961504
chr18-55249809,374.430243770441,4.93748326221843e-82,0.459223481837782,0.147974864164407,0.907062120918043,0.866950645233985,0.759087256753636
chr12-40693298,374.39392359154,5.02796751426609e-82,0.459178697400173,0.173355239928025,0.0986839984297057,0.16263328719106,0.27203923835773
chr1-166944953,373.523264476138,7.77058450518608e-82,0.458105134989072,0.167347141689481,0.870428673474394,0.808724452339238,0.703081531784913
chr19-1356278,373.451193297208,8.05570855120675e-82,0.458016267937371,0.186704794272566,0.392330845333692,0.502139786330786,0.579035639606259
chr19-48717227,373.325540224731,8.57805770484058e-82,0.457861331966377,0.157872645429222,0.344122122018582,0.408880527124501,0.501994767447805
chr15-61082578,373.122777600965,9.49332409778231e-82,0.457611316400697,0.152274582394236,0.901740892438551,0.860446225187443,0.749466310044316
chr12-109723566,373.115106116564,9.52980796827733e-82,0.457601857110436,0.130719353180343,0.343344390973932,0.40598043497729,0.474063744154275
chr10-99522427,373.086668452347,9.66627863531541e-82,0.457566792173054,0.247616224950688,0.494752751096889,0.622934093469416,0.742368976047577
chr4-2625311,372.979060347521,1.02006092791e-81,0.457434106470433,0.193472297864998,0.433669709965403,0.513111125105274,0.627142007830401
chr7-128241239,372.811653351296,1.10911883405462e-81,0.45722768600653,0.269490045711099,0.12339012494072,0.234619727120634,0.392880170651819
chr1-92481477,372.805367804126,1.11261002656899e-81,0.457219935640106,0.302764893899516,0.329181441346209,0.448365053768292,0.631946335245725
chr1-54336008,372.692217389877,1.17737082435058e-81,0.457080416017112,0.169740999462785,0.357263702637503,0.451158385263273,0.527004702100287
chr11-35813044,372.355364072369,1.39334941035384e-81,0.456665060508469,0.169635388044877,0.634225884908368,0.737728740272254,0.803861272953244
chr5-37910451,372.157739192327,1.53806162162087e-81,0.4564213800152,0.223111669369487,0.842220193673962,0.754434952526674,0.619108524304476
chr10-91052088,372.080732631894,1.59843690373973e-81,0.456326427412939,0.19941409899814,0.234569719745467,0.319748166796674,0.433983818743606
chr1-151131709,371.900097525115,1.74952403328192e-81,0.456103696085222,0.217085898827022,0.204822379254514,0.294968603857292,0.421908278081536
chr15-94610528,371.685963001607,1.94723619579217e-81,0.455839658448343,0.200630019773228,0.734253433127968,0.633005604093939,0.53362341335474
chr5-157050225,371.648131497179,1.98442020622318e-81,0.455793010477409,0.196884104355339,0.8754816136175,0.81527416233505,0.678597509262161
chr5-62783890,371.199768992159,2.48310063781179e-81,0.455240159053217,0.213311234676087,0.709711530972793,0.619623108910959,0.496400296296706
chr11-133599297,370.343752777044,3.80956932234841e-81,0.45418465200622,0.186650480514329,0.76174376252497,0.681208191680798,0.575093282010641
chr10-99521945,370.27485892105,3.9430836599026e-81,0.454099702738655,0.260732517704474,0.396756666223626,0.521801011951876,0.6574891839281
chr3-17980707,370.043041837842,4.42766170818975e-81,0.453813861698942,0.128695276026652,0.897624288565404,0.858717902685982,0.768929012538752
chr12-69906629,369.690085803604,5.28223672785693e-81,0.453378650805924,0.199357301681911,0.786344680550787,0.694197390098487,0.586987378868876
chr7-139887063,369.681065533163,5.30611413445874e-81,0.453367528400941,0.142201769302711,0.914690578000242,0.880065633403191,0.772488808697531
chr8-100617657,369.663123106223,5.35393058213436e-81,0.453345404569943,0.163227154750149,0.849284284602972,0.805981394301858,0.686057129852822
chr1-92482030,369.478894400801,5.87053242303175e-81,0.453118242171148,0.259479599631866,0.34289158530925,0.460885618983152,0.602371184941116
chr5-1103794,369.144911400958,6.93746776127797e-81,0.452706425895139,0.135258802069993,0.234145082758427,0.305365061546865,0.36940388482842
chr1-220895793,369.132456911744,6.9808038621874e-81,0.452691068941731,0.197172868093269,0.552816585735455,0.661699485090715,0.749989453828724
chr10-22334980,368.671006455789,8.79241400324056e-81,0.452122079476928,0.131699801175341,0.262953820093537,0.332369684787209,0.394653621268878
chr16-67944541,368.540827345617,9.38374427407672e-81,0.451961562694965,0.147043548925398,0.462933310609714,0.558053004406236,0.609976859535111
chr10-119281683,368.462885579591,9.75665623373541e-81,0.451865456941543,0.225985759644516,0.321574265156504,0.437525813973413,0.54756002480102
chr21-42286129,368.399934197653,1.00686378926236e-80,0.451787835015602,0.208095620027386,0.682138831015024,0.578467939832109,0.474043210987637
chr7-3552579,368.356384628729,1.0290284710821e-80,0.45173413641027,0.18379289423737,0.86394022587143,0.802542726240118,0.680147331634059
chr17-75048895,368.027274015582,1.21308952485144e-80,0.451328328009349,0.234036767273465,0.411668589588188,0.508972938745584,0.645705356861653
chr15-58490781,367.994869224791,1.23290457312539e-80,0.45128837142391,0.168868497064897,0.464907433857456,0.563304114795103,0.633775930922354
chr11-133136023,367.737312596544,1.40235244069205e-80,0.450970792350855,0.187378272675058,0.889137543418331,0.817275390174901,0.701759270743273
chr6-13014969,367.616500956884,1.48967348905537e-80,0.450821826087403,0.150015538341449,0.334340678001136,0.407544451973592,0.484356216342585
chr12-40693076,367.459350892933,1.61144612971824e-80,0.450628052888944,0.187431092282751,0.210420296980605,0.298951122862181,0.397851389263356
chr4-7384063,367.453940466053,1.61581133719319e-80,0.450621381585762,0.150537179691152,0.899742977280175,0.861270974752733,0.749205797589023
chr9-4138321,367.300202990704,1.74491517502452e-80,0.45043181626474,0.0972503290277804,0.922204525697981,0.885192810377955,0.824954196670201
chr9-114958656,367.237363110606,1.80061069834775e-80,0.450354331825655,0.238885772633603,0.74696829990964,0.599032384766204,0.508082527276037
chr1-205531382,367.11364788413,1.91550921798263e-80,0.450201785307189,0.150273115638349,0.796347200430208,0.723295842668203,0.64607408479186
chr17-41965116,367.04637006345,1.98104088842533e-80,0.450118828684895,0.125963765825918,0.480688347754185,0.544162344979184,0.606652113580103
chr15-41104374,366.91060136398,2.1201922266755e-80,0.449951419684316,0.173284147173973,0.569021350248401,0.680903825704962,0.742305497422374
chr3-141412945,366.876079747682,2.15710612329148e-80,0.449908852956451,0.180539954332487,0.365601685564436,0.458098992243108,0.546141639896923
chr12-111636353,366.817229155628,2.22152270010464e-80,0.449836287491526,0.231517232525114,0.315792749395877,0.410447485685096,0.54730998192099
chr5-42953440,366.696334163603,2.35994982382934e-80,0.449687218450805,0.230142294900517,0.359196828002109,0.500574410419682,0.589339122902626
chr4-7328564,366.252492237998,2.94633292412876e-80,0.449139941107273,0.17278168174084,0.90457913239164,0.856164566311827,0.7317974506508
chr2-61180278,366.01695162631,3.31458234536501e-80,0.448849508787065,0.182028287441146,0.285881986714081,0.3727087167426,0.467910274155227
chr19-30908226,365.691232772658,3.90083663995732e-80,0.448447882580343,0.178362801870333,0.662439289722606,0.557937848493599,0.484076487852273
chr4-7151459,365.592583785115,4.09806760587693e-80,0.44832624387807,0.160465756937468,0.714997402186679,0.629494829521486,0.55453164524921
