seqnames,start,end,width,strand,no.cpgs,min_smoothed_fdr,Stouffer,HMFDR,Fisher,maxdiff,meandiff,overlapping.genes,contrast,selected_cpgs
chr6,29520698,29521781,1084,*,28,0,0,1.36688708853245e-110,0,0.238981599329873,0.156904367038129,OR2I1P,IM_vs_NV,chr6-29553360; chr6-29553367; chr6-29553494; chr6-29553578; chr6-29553642; chr6-29553710; chr6-29553721; chr6-29553824; chr6-29553846; chr6-29553853
chr10,101279697,101285439,5743,*,24,0,0,3.55513671749854e-126,0,0.260732517704472,0.124918988592469,,IM_vs_NV,chr10-99521945; chr10-99522427; chr10-99522968
chr6,30094980,30095802,823,*,22,0,0,1.3924995798937e-87,0,0.19788221937997,0.13055539631344,,IM_vs_NV,chr6-30127480; chr6-30127487
chr8,95651099,95655439,4341,*,17,0,0,4.04266685573825e-108,0,0.218116501703761,0.114029233436835,"RP11-22C11.2, ESRP1",IM_vs_NV,chr8-94638870; chr8-94640010
chr2,176947228,176950736,3509,*,16,0,0,5.97308401196832e-96,0,0.222178797949743,0.106443126550924,EVX2,IM_vs_NV,chr2-176085278
chr11,31839314,31841980,2667,*,15,0,0,2.72931304283714e-117,0,0.238206828591138,0.120139153521352,"PAX6, RCN1",IM_vs_NV,chr11-31817972; chr11-31818079; chr11-31818083; chr11-31818241
chr1,25290947,25292412,1466,*,13,0,0,2.2421615266834e-103,0,-0.196187089666609,-0.121743463336369,RUNX3,IM_vs_NV,chr1-24965048; chr1-24965054
chr6,31650735,31651676,942,*,13,0,0,2.41025172831678e-102,0,0.304130446038153,0.148477562209799,LY6G5C,IM_vs_NV,chr6-31683152; chr6-31683251
chr1,47897576,47900327,2752,*,12,0,0,2.40758827949864e-122,0,0.252153789792217,0.112789768699113,FOXD2-AS1,IM_vs_NV,chr1-47434583; chr1-47434592; chr1-47434654
chr5,87987991,87991388,3398,*,12,0,0,3.3826132708299e-94,0,0.190250322807731,0.116593509593097,"CTC-467M3.1, CTC-467M3.3, CTC-467M3.2",IM_vs_NV,chr5-88694264
chr6,24356007,24358308,2302,*,12,0,0,1.17452916326204e-79,0,0.166826688494745,0.106796771073702,"DCDC2, KAAG1",IM_vs_NV,chr6-24358007; chr6-24358069
